entity,year,wild_polio_1_cases,wild_polio_1_cases_per_million,cVDPV1,cVDPV2,cVDPV3,total_cVDPV,cVDPV1_per_million,cVDPV2_per_million,cVDPV3_per_million,total_cVDPV_per_million
Afghanistan,2016,13,0.367,0,0,0,0,0.0,0.0,0.0,0.0
Afghanistan,2017,14,0.386,0,0,0,0,0.0,0.0,0.0,0.0
Afghanistan,2018,21,0.565,0,0,0,0,0.0,0.0,0.0,0.0
Afghanistan,2019,29,0.762,0,0,0,0,0.0,0.0,0.0,0.0
Afghanistan,2020,56,1.439,0,308,0,308,0.0,7.912,0.0,7.912
Afghanistan,2021,4,0.1,0,43,0,43,0.0,1.079,0.0,1.079
Angola,2019,0,0.0,0,138,0,138,0.0,4.336,0.0,4.336
Angola,2020,0,0.0,0,3,0,3,0.0,0.091,0.0,0.091
Benin,2019,0,0.0,0,8,0,8,0.0,0.678,0.0,0.678
Benin,2020,0,0.0,0,3,0,3,0.0,0.247,0.0,0.247
Benin,2021,0,0.0,0,3,0,3,0.0,0.241,0.0,0.241
Burkina Faso,2019,0,0.0,0,1,0,1,0.0,0.049,0.0,0.049
Burkina Faso,2020,0,0.0,0,65,0,65,0.0,3.11,0.0,3.11
Burkina Faso,2021,0,0.0,0,2,0,2,0.0,0.093,0.0,0.093
Cameroon,2020,0,0.0,0,7,0,7,0.0,0.264,0.0,0.264
Cameroon,2021,0,0.0,0,3,0,3,0.0,0.11,0.0,0.11
Central African Republic,2019,0,0.0,0,21,0,21,0.0,4.426,0.0,4.426
Central African Republic,2020,0,0.0,0,4,0,4,0.0,0.828,0.0,0.828
Chad,2019,0,0.0,0,11,0,11,0.0,0.69,0.0,0.69
Chad,2020,0,0.0,0,101,0,101,0.0,6.149,0.0,6.149
China,2019,0,0.0,0,1,0,1,0.0,0.001,0.0,0.001
Congo,2020,0,0.0,0,2,0,2,0.0,0.362,0.0,0.362
Congo,2021,0,0.0,0,2,0,2,0.0,0.354,0.0,0.354
Cote d'Ivoire,2020,0,0.0,0,64,0,64,0.0,2.426,0.0,2.426
Democratic Republic of Congo,2017,0,0.0,0,22,0,22,0.0,0.27,0.0,0.27
Democratic Republic of Congo,2018,0,0.0,0,20,0,20,0.0,0.238,0.0,0.238
Democratic Republic of Congo,2019,0,0.0,0,88,0,88,0.0,1.014,0.0,1.014
Democratic Republic of Congo,2020,0,0.0,0,81,0,81,0.0,0.904,0.0,0.904
Democratic Republic of Congo,2021,0,0.0,0,28,0,28,0.0,0.303,0.0,0.303
Ethiopia,2019,0,0.0,0,14,0,14,0.0,0.125,0.0,0.125
Ethiopia,2020,0,0.0,0,36,0,36,0.0,0.313,0.0,0.313
Ethiopia,2021,0,0.0,0,10,0,10,0.0,0.085,0.0,0.085
Ghana,2019,0,0.0,0,18,0,18,0.0,0.592,0.0,0.592
Ghana,2020,0,0.0,0,12,0,12,0.0,0.386,0.0,0.386
Guinea,2020,0,0.0,0,44,0,44,0.0,3.35,0.0,3.35
Guinea,2021,0,0.0,0,6,0,6,0.0,0.445,0.0,0.445
Guinea-Bissau,2021,0,0.0,0,3,0,3,0.0,1.488,0.0,1.488
Indonesia,2018,0,0.0,1,0,0,1,0.004,0.0,0.0,0.004
Iran,2016,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
