position,name,type,isnumeric,format,vallab,varlab
1,studyno,int,1,%8.0g,STUDYNO,Study number
4,stdyno_w,int,1,%8.0g,STDYNO_W,Study number (wave)
6,S001,byte,1,%19.0g,S001,Study
7,S002,byte,1,%19.0g,S002,WVS-wave
8,S002EVS,byte,1,%19.0g,S002EVS,EVS-wave
9,S002VS,byte,1,%22.0g,S002VS,Chronology of EVS-WVS waves
10,S003,int,1,%23.0g,S003,Country (ISO 3166-1 Numeric code)
11,COW_NUM,int,1,%25.0g,COW_NUM,Country (CoW Numeric code)
13,S004,byte,1,%19.0g,S004,Set
17,S008,long,1,%19.0g,S008,Interviewer number
19,mode,byte,1,%8.0g,MODE,Mode of data collection
20,S010,double,1,%19.0g,S010,Total length of interview
21,S011A,double,1,%19.0g,S011A,Time of the interview - Start [hh.mm]
22,S011B,double,1,%19.0g,S011B,Time of the interview - End [hh.mm]
23,S012,long,1,%19.0g,S012,Date interview [YYYYMMDD]
24,S013,byte,1,%19.0g,S013,Respondent interested during the interview
25,S013B,byte,1,%64.0g,S013B,Interview privacy
26,S016,int,1,%33.0g,S016,Language of the interview (WVS/EVS list of languages)
28,S017,double,1,%20.0g,S017,Weight
30,S019,double,1,%19.0g,S019,Equilibrated weight-1500
32,S020,int,1,%20.0g,S020,Year survey
34,S022,long,1,%19.0g,S022,Year/month of start-fieldwork
35,S023,long,1,%19.0g,S023,Year/month of end-fieldwork
36,S024,int,1,%28.0g,S024,Country - wave
37,S025,long,1,%31.0g,S025,Country - year
38,S036,byte,1,%19.0g,S036,Flag variable: Duplicate Cases
39,mm_fw_end_fu_EVS5,long,1,%12.0g,MM_FW_EN,Year/month of end-fieldwork (matrix design) (EVS5)
40,mm_fw_start_fu_EVS5,long,1,%12.0g,MM_FW_ST,Year/month of start-fieldwork (matrix design) (EVS5)
41,mm_matrix_group_EVS5,byte,1,%8.0g,MM_MATRI,Matrix attribution (group/variable bloc) (EVS5)
42,mm_mixed_mode_EVS5,byte,1,%8.0g,MM_MIXED,Mixed mode/matrix design (EVS5)
