lname,value,label
A001,-5,Missing: Other
A001,-4,Not asked in survey
A001,-3,Not applicable
A001,-2,No answer
A001,-1,Don´t know
A001,1,Very important
A001,2,Rather important
A001,3,Not very important
A001,4,Not at all important
A001,.a,Don't know
A001,.b,No answer
A001,.c,Not applicable
A001,.d,Not asked in survey
A001,.e,Missing: other
A002,-5,Missing: Other
A002,-4,Not asked in survey
A002,-3,Not applicable
A002,-2,No answer
A002,-1,Don´t know
A002,1,Very important
A002,2,Rather important
A002,3,Not very important
A002,4,Not at all important
A002,.a,Don't know
A002,.b,No answer
A002,.c,Not applicable
A002,.d,Not asked in survey
A002,.e,Missing: other
A003,-5,Missing: Other
A003,-4,Not asked in survey
A003,-3,Not applicable
A003,-2,No answer
A003,-1,Don´t know
A003,1,Very important
A003,2,Rather important
A003,3,Not very important
A003,4,Not at all important
A003,.a,Don't know
A003,.b,No answer
A003,.c,Not applicable
A003,.d,Not asked in survey
A003,.e,Missing: other
A004,-5,Missing: Other
A004,-4,Not asked in survey
A004,-3,Not applicable
A004,-2,No answer
A004,-1,Don´t know
A004,1,Very important
A004,2,Rather important
A004,3,Not very important
A004,4,Not at all important
A004,.a,Don't know
A004,.b,No answer
A004,.c,Not applicable
A004,.d,Not asked in survey
A004,.e,Missing: other
A005,-5,Missing: Other
A005,-4,Not asked in survey
A005,-3,Not applicable
A005,-2,No answer
A005,-1,Don´t know
A005,1,Very important
A005,2,Rather important
A005,3,Not very important
A005,4,Not at all important
A005,.a,Don't know
A005,.b,No answer
A005,.c,Not applicable
A005,.d,Not asked in survey
A005,.e,Missing: other
A006,-5,Missing: Other
A006,-4,Not asked in survey
A006,-3,Not applicable
A006,-2,No answer
A006,-1,Don´t know
A006,1,Very important
A006,2,Rather important
A006,3,Not very important
A006,4,Not at all important
A006,.a,Don't know
A006,.b,No answer
A006,.c,Not applicable
A006,.d,Not asked in survey
A006,.e,Missing: other
A007,-5,Missing: Other
A007,-4,Not asked in survey
A007,-3,Not applicable
A007,-2,No answer
