name,variable_label,category,value_label,var,1984,1993,1998,2004,2010,2014,2022
A001,Important in life: Family,Perceptions of life,"1: Very important, 2: Rather important, 3: Not very important, 4: Not at all important, .a: Don't know, .b: No answer, .c: Not applicable, .d: Not asked in survey, .e: Missing: other",A001,,43.0,54.0,70.0,81.0,60.0,90.0
A002,Important in life: Friends,Perceptions of life,"1: Very important, 2: Rather important, 3: Not very important, 4: Not at all important, .a: Don't know, .b: No answer, .c: Not applicable, .d: Not asked in survey, .e: Missing: other",A002,,43.0,54.0,70.0,81.0,60.0,90.0
A003,Important in life: Leisure time,Perceptions of life,"1: Very important, 2: Rather important, 3: Not very important, 4: Not at all important, .a: Don't know, .b: No answer, .c: Not applicable, .d: Not asked in survey, .e: Missing: other",A003,,43.0,54.0,70.0,81.0,60.0,90.0
A004,Important in life: Politics,Perceptions of life,"1: Very important, 2: Rather important, 3: Not very important, 4: Not at all important, .a: Don't know, .b: No answer, .c: Not applicable, .d: Not asked in survey, .e: Missing: other",A004,,43.0,54.0,70.0,81.0,60.0,90.0
A005,Important in life: Work,Perceptions of life,"1: Very important, 2: Rather important, 3: Not very important, 4: Not at all important, .a: Don't know, .b: No answer, .c: Not applicable, .d: Not asked in survey, .e: Missing: other",A005,,43.0,54.0,70.0,81.0,60.0,90.0
A006,Important in life: Religion,Perceptions of life,"1: Very important, 2: Rather important, 3: Not very important, 4: Not at all important, .a: Don't know, .b: No answer, .c: Not applicable, .d: Not asked in survey, .e: Missing: other",A006,,43.0,54.0,70.0,81.0,60.0,90.0
A007,Service to others important in life,Perceptions of life,"1: Very important, 2: Rather important, 3: Not very important, 4: Not at all important, .a: Don't know, .b: No answer, .c: Not applicable, .d: Not asked in survey, .e: Missing: other",A007,,,,38.0,,,
A008,Feeling of happiness,Perceptions of life,"1: Very happy, 2: Quite happy, 3: Not very happy, 4: Not at all happy, .a: Don't know, .b: No answer, .c: Not applicable, .d: Not asked in survey, .e: Missing: other",A008,23.0,43.0,55.0,70.0,82.0,60.0,90.0
A009,State of health (subjective),Perceptions of life,"1: Very good, 2: Good, 3: Fair, 4: Poor, 5: Very poor, .a: Don't know, .b: No answer, .c: Not applicable, .d: Not asked in survey, .e: Missing: other",A009,24.0,41.0,54.0,37.0,82.0,60.0,90.0
A010,Ever felt very excited or interested,Perceptions of life,"0: No, 1: Yes, .a: Don't know, .b: No answer, .c: Not applicable, .d: Not asked in survey, .e: Missing: other",A010,16.0,40.0,,,,,
A011,Ever felt restless,Perceptions of life,"0: No, 1: Yes, .a: Don't know, .b: No answer, .c: Not applicable, .d: Not asked in survey, .e: Missing: other",A011,16.0,39.0,,,,,
A012,Ever felt proud because someone complimented you,Perceptions of life,"0: No, 1: Yes, .a: Don't know, .b: No answer, .c: Not applicable, .d: Not asked in survey, .e: Missing: other",A012,16.0,40.0,,,,,
A013,Ever felt very lonely or remote from other people,Perceptions of life,"0: No, 1: Yes, .a: Don't know, .b: No answer, .c: Not applicable, .d: Not asked in survey, .e: Missing: other",A013,16.0,40.0,,,,,
A014,Ever felt pleased about having accomplished something,Perceptions of life,"0: No, 1: Yes, .a: Don't know, .b: No answer, .c: Not applicable, .d: Not asked in survey, .e: Missing: other",A014,16.0,40.0,,,,,
A015,Ever felt bored,Perceptions of life,"0: No, 1: Yes, .a: Don't know, .b: No answer, .c: Not applicable, .d: Not asked in survey, .e: Missing: other",A015,16.0,40.0,,,,,
A016,Ever felt on top of the world,Perceptions of life,"0: No, 1: Yes, .a: Don't know, .b: No answer, .c: Not applicable, .d: Not asked in survey, .e: Missing: other",A016,16.0,40.0,,,,,
A017,Ever felt depressed or very unhappy,Perceptions of life,"0: No, 1: Yes, .a: Don't know, .b: No answer, .c: Not applicable, .d: Not asked in survey, .e: Missing: other",A017,16.0,40.0,,,,,
A018,Ever felt that things were going your way,Perceptions of life,"0: No, 1: Yes, .a: Don't know, .b: No answer, .c: Not applicable, .d: Not asked in survey, .e: Missing: other",A018,16.0,40.0,,,,,
A019,Ever felt upset because somebody criticized you,Perceptions of life,"0: No, 1: Yes, .a: Don't know, .b: No answer, .c: Not applicable, .d: Not asked in survey, .e: Missing: other",A019,16.0,39.0,,,,,
A025,Respect and love for parents,Perceptions of life,"1: Always respect, 2: Respect if earned, 3: Neither, .a: Don't know, .b: No answer, .c: Not applicable, .d: Not asked in survey, .e: Missing: other",A025,23.0,43.0,54.0,69.0,46.0,,
A026,Parents responsibilities to their children,Perceptions of life,"1: Parents' duty is to do their best for their children even at the expense of their own well-being, 2: Parents have a life of their own and should not be asked to sacrifice their own well-being for the sake of their childre, 3: Neither, .a: Don't know, .b: No answer, .c: Not applicable, .d: Not asked in survey, .e: Missing: other",A026,23.0,43.0,54.0,69.0,46.0,,
