country,variable,percentile,year,value_lcu,age,pop
AD,anninc999i,p0p100,1970,29558.5,999,i
AD,anninc999i,p0p100,1971,29302.8,999,i
AD,anninc999i,p0p100,1972,30201.3,999,i
AD,anninc999i,p0p100,1973,31097.7,999,i
AD,anninc999i,p0p100,1974,31448.3,999,i
AD,anninc999i,p0p100,1975,30254.5,999,i
AD,anninc999i,p0p100,1976,30223.4,999,i
AD,anninc999i,p0p100,1977,30175.2,999,i
AD,anninc999i,p0p100,1978,29742.9,999,i
AD,anninc999i,p0p100,1979,28792.3,999,i
AD,anninc999i,p0p100,1980,28475.1,999,i
AD,anninc999i,p0p100,1981,27317.8,999,i
AD,anninc999i,p0p100,1982,26531.9,999,i
AD,anninc999i,p0p100,1983,25860.1,999,i
AD,anninc999i,p0p100,1984,25180.8,999,i
AD,anninc999i,p0p100,1985,24655.2,999,i
AD,anninc999i,p0p100,1986,24397.2,999,i
AD,anninc999i,p0p100,1987,24770.8,999,i
AD,anninc999i,p0p100,1988,25039.3,999,i
AD,anninc999i,p0p100,1989,25271.1,999,i
AD,anninc999i,p0p100,1990,25255,999,i
AD,anninc999i,p0p100,1991,24917.1,999,i
AD,anninc999i,p0p100,1992,24175.3,999,i
AD,anninc999i,p0p100,1993,23017.8,999,i
AD,anninc999i,p0p100,1994,22932.6,999,i
AD,anninc999i,p0p100,1995,23116.8,999,i
AD,anninc999i,p0p100,1996,24011.1,999,i
AD,anninc999i,p0p100,1997,26345.7,999,i
AD,anninc999i,p0p100,1998,27174.9,999,i
AD,anninc999i,p0p100,1999,28121.8,999,i
AD,anninc999i,p0p100,2000,28550.5,999,i
AD,anninc999i,p0p100,2001,30042.2,999,i
AD,anninc999i,p0p100,2002,30085.4,999,i
AD,anninc999i,p0p100,2003,31378.8,999,i
AD,anninc999i,p0p100,2004,32650.5,999,i
AD,anninc999i,p0p100,2005,33288.4,999,i
AD,anninc999i,p0p100,2006,34069.4,999,i
AD,anninc999i,p0p100,2007,33947.6,999,i
AD,anninc999i,p0p100,2008,31420.1,999,i
AD,anninc999i,p0p100,2009,29430.2,999,i
AD,anninc999i,p0p100,2010,28915.8,999,i
AD,anninc999i,p0p100,2011,29294.9,999,i
AD,anninc999i,p0p100,2012,28168.3,999,i
AD,anninc999i,p0p100,2013,27626,999,i
AD,anninc999i,p0p100,2014,28989.8,999,i
AD,anninc999i,p0p100,2015,29874.4,999,i
AD,anninc999i,p0p100,2016,31361.3,999,i
AD,anninc999i,p0p100,2017,31513.2,999,i
AD,anninc999i,p0p100,2018,31990.4,999,i
AD,anninc999i,p0p100,2019,32514.5,999,i
