"Entity","Year","coveragetype","datatype","IsSurveyYear","ISO3DataYearCovType","ISO3Year","Population","headcount_ratio_1_00","poverty_gap_index_1_00","headcount_1_00","income_gap_ratio_1_00","headcount_ratio_1_90","poverty_gap_index_1_90","headcount_1_90","income_gap_ratio_1_90","headcount_ratio_3_20","poverty_gap_index_3_20","headcount_3_20","income_gap_ratio_3_20","headcount_ratio_5_50","poverty_gap_index_5_50","headcount_5_50","income_gap_ratio_5_50","headcount_ratio_10_00","poverty_gap_index_10_00","headcount_10_00","income_gap_ratio_10_00","headcount_ratio_15_00","poverty_gap_index_15_00","headcount_15_00","income_gap_ratio_15_00","headcount_ratio_20_00","poverty_gap_index_20_00","headcount_20_00","income_gap_ratio_20_00","headcount_ratio_30_00","poverty_gap_index_30_00","headcount_30_00","income_gap_ratio_30_00","headcount_ratio_40_00","poverty_gap_index_40_00","headcount_40_00","income_gap_ratio_40_00","headcount_ratio_40_median","poverty_gap_index_40_median","headcount_40_median","income_gap_ratio_40_median","headcount_ratio_50_median","poverty_gap_index_50_median","headcount_50_median","income_gap_ratio_50_median","headcount_ratio_60_median","poverty_gap_index_60_median","headcount_60_median","income_gap_ratio_60_median","total_shortall_daily_1_00","total_shortall_daily_1_90","total_shortall_daily_3_20","total_shortall_daily_5_50","total_shortall_daily_10_00","total_shortall_daily_15_00","total_shortall_daily_20_00","total_shortall_daily_30_00","total_shortall_daily_40_00","total_shortall_daily_40_median","total_shortall_daily_50_median","total_shortall_daily_60_median","avg_shortfall_1_00","avg_shortfall_1_90","avg_shortfall_3_20","avg_shortfall_5_50","avg_shortfall_10_00","avg_shortfall_15_00","avg_shortfall_20_00","avg_shortfall_30_00","avg_shortfall_40_00","headcount_stacked_below_1_00","headcount_stacked_below_1_90","headcount_stacked_below_3_20","headcount_stacked_below_5_50","headcount_stacked_below_10_00","headcount_stacked_below_15_00","headcount_stacked_below_20_00","headcount_stacked_below_30_00","headcount_stacked_above_40_00","headcount_stacked_below_40_00","headcount_ratio_stacked_below_1_00","headcount_ratio_stacked_below_1_90","headcount_ratio_stacked_below_3_20","headcount_ratio_stacked_below_5_50","headcount_ratio_stacked_below_10_00","headcount_ratio_stacked_below_15_00","headcount_ratio_stacked_below_20_00","headcount_ratio_stacked_below_30_00","headcount_ratio_stacked_above_40_00","headcount_ratio_stacked_below_40_00"
"Albania",2016,"N","consumption",TRUE,"ALB:2016:N:c","ALB2016",NA,0,0,0,44.6694898522105,0.858683,0.1276257,24697,19.4759149088731,9.424894,1.984075,271069,21.1652916174396,34.19554,10.04307,983498,29.4244524341856,70.01797,30.0142,2013788,42.8450714239005,88.07904,46.73893,2533242,53.0821354429486,95.20238,58.12185,2738117,61.0847481395261,99.09021,71.29771,2849935,71.9843888550477,99.90037,78.37186,2873236,78.4846682330348,6.620756,1.258885,190420,18.9306204449772,12.91644,2.905609,371490,22.5482728996317,20.0007,5.138129,575240,25.6812824119141,0,0.0024248883,0.0634904,0.55236885,3.00142,7.0108395,11.62437,21.389313,31.348744,0.0358530448,0.1034396804,0.21955225217,0.446694898522105,0.370042383268589,0.677289331758067,1.61834488388021,4.28450714239005,7.96232031644229,12.2169496279052,21.5953166565143,31.3938672932139,0,24697,246372,712429,1030290,519454,204875,111818,2865,23301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania",2017,"N","consumption",TRUE,"ALB:2017:N:c","ALB2017",NA,0,0,0,68.6442408610502,1.266547,0.193475,36394,18.0804011531038,8.189585,1.782739,235324,22.1332788575129,33.7635,9.794546,970180,28.9508643432107,70.53703,29.92264,2026851,42.4077480103729,88.31251,46.86364,2537622,53.0390789709481,95.4723,58.28341,2743355,61.0605301645064,99.21775,71.49813,2850979,72.0383316148672,99.82271,78.5254,2868363,78.6388565359587,5.386275,1.130555,154772,21.2663310322195,12.00869,2.551984,345065,21.3149072962983,19.28061,4.736361,554020,24.6636534739792,0,0.003676025,0.057047648,0.53870003,2.992264,7.029546,11.656682,21.449439,31.41016,0.0319494843,0.09016159472,0.20077434279,0.686442408610502,0.343527621908972,0.708264923440413,1.59229753887659,4.24077480103729,7.95586184564221,12.2121060329013,21.6114994844602,31.4555426143835,0,36394,198930,734856,1056671,510771,205733,107624,5094,17384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia",1999,"N","consumption",TRUE,"ARM:1999:N:c","ARM1999",NA,1.331288,0.1957273,41124,14.2249175728149,12.21169,2.918608,377222,23.9660007854118,44.84194,13.45963,1385177,29.9883906196244,78.20632,34.70727,2415810,44.3454902498773,94.82277,59.24851,2929096,62.4659512007599,97.55109,71.67703,3013375,73.4043763483898,98.81663,78.35159,3052467,79.2682766821954,99.63294,85.33235,3077683,85.642464981822,99.81921,88.93286,3083437,89.0856873039148,4.623897,0.8911911,142833,19.4760490851134,9.324495,2.107157,288036,22.4715876235392,15.97546,3.790387,493485,23.5652699116326,0.001957273,0.055453552,0.43070816,1.90889985,5.924851,10.7515545,15.670318,25.599705,35.573144,0.012253877625,0.03622202883,0.07815777994,0.142249175728149,0.455354014922824,0.959628499827981,2.43900196374325,6.24659512007599,11.0106564522585,15.8536553364391,25.6927394945466,35.6342749215659,41124,336098,1007955,1030633,513286,84279,39092,25216,5585,5754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia",2001,"N","consumption",TRUE,"ARM:2001:N:c","ARM2001",NA,0.9193298,0.2645596,28046,27.2021131578531,14.36109,3.117165,438112,21.6184737915119,47.40034,14.32685,1446036,30.164411536057,80.98282,36.73272,2470532,45.3651541780085,94.59329,60.54473,2885745,64.0321925244495,98.03916,72.60129,2990868,74.0487615049247,99.17668,79.12284,3025570,79.8096515801711,99.73056,85.93718,3042467,86.1576530611093,99.89738,89.41242,3047556,89.4670033626838,3.935695,0.7021251,120066,17.4261765482947,9.267702,1.806972,282729,19.1701294651366,15.85949,3.60671,483823,22.6641732518404,0.002645596,0.059226135,0.4584592,2.0202996,6.054473,10.8901935,15.824568,25.781154,35.764968,0.009275072571,0.02983310772,0.0714489251,0.272021131578531,0.410751002038726,0.965261169153824,2.49508347979047,6.40321925244495,11.1073142257387,15.9619303160342,25.8472959183328,35.7868013450735,28046,410066,1007924,1024496,415213,105123,34702,16897,3131,5089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia",2002,"N","consumption",TRUE,"ARM:2002:N:c","ARM2002",NA,0.9183886,0.1585472,27864,15.6870574790453,10.51451,2.187067,319008,20.5835513656229,43.75913,12.16189,1327642,27.6981969914095,79.70152,34.28379,2418127,42.973510714517,94.57316,58.9831,2869329,62.3769089059705,97.98059,71.54185,2972710,73.037445627456,99.01899,78.2767,3004214,79.0273055227404,99.6556,85.31548,3023529,85.6222659847043,99.8278,88.92917,3028753,89.0718352327593,3.27176,0.6435694,99264,19.4244182624161,7.3732,1.542373,223701,20.7916477839953,14.22981,3.068024,431729,21.4195291930348,0.001585472,0.041554273,0.38918048,1.88560845,5.89831,10.7312775,15.65534,25.594644,35.571668,0.00891343619,0.02671390036,0.06375353872,0.156870574790453,0.391087475946835,0.886342303725104,2.36354308929843,6.23769089059705,10.9556168441184,15.8054611045481,25.6866797954113,35.6287340931037,27864,291144,1008634,1090485,451202,103381,31504,19315,5225,5224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia",2003,"N","consumption",TRUE,"ARM:2003:N:c","ARM2003",NA,0.2079867,0.0319303,6277,15.5124140116166,7.851498,1.215283,236953,15.3255476314622,39.68906,9.81841,1197789,24.7256347273642,78.89455,31.89787,2380984,40.4384159652508,95.43469,57.99636,2880154,60.7556475990939,98.03973,70.97494,2958772,72.3860742279793,98.76768,77.85325,2980741,78.7616613575635,99.58403,85.01241,3005378,85.3224559947183,99.83881,88.68184,3013067,88.8321680311782,1.851082,0.3107018,55864,16.4164095426402,6.229201,0.9695512,187993,15.3281702188608,13.32155,2.405852,402035,17.9257038835851,0.000319303,0.023090377,0.31418912,1.75438285,5.799636,10.646241,15.57065,25.503723,35.472736,0.004533139262,0.017684613888,0.05266410028,0.155124140116166,0.291185404997782,0.791220311275655,2.22411287808879,6.07556475990939,10.8579111341969,15.7523322715127,25.5967367984155,35.5328672124713,6277,230676,960836,1183195,499170,78618,21969,24637,4865,7689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia",2004,"N","consumption",TRUE,"ARM:2004:N:c","ARM2004",NA,0.6349095,0.1251622,19052,17.7058274348954,5.475656,1.269047,164309,22.7284991907635,29.04448,7.121274,871544,24.4845840531297,68.12123,25.38144,2044127,37.238321081802,91.00603,51.27779,2730836,56.3229126718279,96.13442,65.59902,2884725,68.2354041015345,97.73397,73.46716,2932723,75.1701848001425,99.03536,81.79697,2971774,82.5937991282804,99.56503,86.18632,2987668,86.5905618124395,3.795426,0.8481989,113890,21.8143201251917,8.029325,1.822447,240938,22.5404590461963,14.42051,3.343412,432719,22.9165654892274,0.001251622,0.024111893,0.227880768,1.3959792,5.127779,9.839853,14.693432,24.539091,34.474528,0.014343043399,0.03852652958,0.08482236244,0.177058274348954,0.431841484624506,0.78350668970015,2.04810765949911,5.63229126718279,10.2353106152302,15.0340369600285,24.7781397384841,34.6362247249758,19052,145257,707235,1172583,686709,153889,47998,39051,13052,15894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia",2005,"N","consumption",TRUE,"ARM:2005:N:c","ARM2005",NA,0.3402745,0.03694002,10144,20.8647414992469,2.685917,0.6190956,80074,24.0070155040155,19.47748,4.275547,580676,22.1324646875114,61.26036,20.12824,1826336,32.907853494396,89.5167,46.74567,2668734,52.2385901445674,95.66495,62.22773,2852029,65.0992697973155,97.3968,70.82578,2903661,72.7191537473108,98.76931,79.95138,2944579,80.9206054730513,99.51765,84.75717,2966889,85.1886230934597,2.732871,0.6234931,81474,24.1666646311079,6.910646,1.46,206025,21.5120846820055,13.34711,2.813139,397913,21.3101720448477,0.0003694002,0.0117628164,0.136817504,1.1070532,4.674567,9.3341595,14.165156,23.985414,33.902868,0.011871308624,0.034748,0.08037138123,0.208647414992469,0.456133294576294,0.708238870000365,1.80993194219178,5.22385901445674,9.76489046959732,14.5438307494622,24.2761816419154,34.0754492373839,10144,69930,500602,1245660,842398,183295,51632,40918,14380,22310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia",2006,"N","consumption",TRUE,"ARM:2006:N:c","ARM2006",NA,0.05294453,0.0105856,1566,NA,2.142006,0.3394366,63367,15.0782100536285,15.51436,3.325306,458962,21.2795606238687,55.85494,17.26822,1652361,30.8901741233993,90.29556,44.42954,2671220,49.2161809351877,97.12883,61.18821,2873369,62.9769513567522,98.78022,70.402,2922222,71.2905705037715,99.67619,80.03937,2948728,80.2457004748019,99.84694,84.9772,2953779,85.0322658566885,2.87896,0.4892123,85168,16.0403098464281,7.002122,1.342082,207144,18.8072094260844,13.91431,2.831541,411628,20.182179433273,0.000105856,0.0064492954,0.106409792,0.9497521,4.442954,9.1782315,14.0804,24.011811,33.99088,0.009999499412,0.0342901951,0.08684336247,NA,0.286485991018941,0.680945939963798,1.69895957678696,4.92161809351877,9.44654270351283,14.2581141007543,24.0737101424406,34.0129063426754,1566,61801,395595,1193399,1018859,202149,48853,26506,4528,5051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia",2007,"N","consumption",TRUE,"ARM:2007:N:c","ARM2007",NA,0.122276,0.02546955,3586,26.1628231407199,1.628521,0.2933436,47758,17.5616085739781,13.78381,2.780296,404226,20.1386388509174,48.36598,14.49987,1418389,29.9623169091283,85.20439,39.99174,2498719,46.8980794396968,95.25817,57.16543,2793558,60.0131291610446,98.05371,67.12121,2875541,68.4546447547769,99.43184,77.74859,2915956,78.1817874220846,99.84567,83.24427,2928092,83.3792427467104,3.544372,0.6407482,103943,17.8558971608004,8.223759,1.625937,241171,19.5859819095832,15.95142,3.361056,467794,20.9979688383454,0.0002546955,0.0055735284,0.088969472,0.79749285,3.999174,8.5748145,13.424242,23.324577,33.297708,0.01435275968,0.04554249537,0.11296509216,0.261628231407199,0.333670562905584,0.644436443229357,1.64792743000206,4.68980794396968,9.00196937415669,13.6909289509554,23.4545362266254,33.3516970986842,3586,44172,356468,1014163,1080330,294839,81983,40415,4526,12136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia",2008,"N","consumption",TRUE,"ARM:2008:N:c","ARM2008",NA,0.0855694,0.01562249,2488,10.6717039397599,0.8928085,0.1956701,25959,19.990489469363,9.306331,1.738615,270593,18.4266553247451,45.48456,12.47898,1322517,27.4245340456741,85.07231,37.93237,2473578,44.5350114822815,95.98275,55.87395,2790812,58.2269743576074,98.68475,66.29531,2869376,67.204901131551,99.63914,77.30817,2897126,77.5120991271551,99.86469,82.9331,2903684,83.0689421633392,2.09622,0.4261078,60950,20.3474958962478,6.432165,1.160918,187023,17.7783903847468,12.98249,2.524599,377481,19.3733592002785,0.0001562249,0.0037177319,0.05563568,0.6863439,3.793237,8.3810925,13.259062,23.192451,33.17324,0.009936833896,0.0338407597,0.08831047302,0.106717039397599,0.379819299917897,0.589652970391843,1.50834937251208,4.45350114822815,8.73404615364111,13.4409802263102,23.2536297381465,33.2275768653357,2488,23471,244634,1051924,1151061,317234,78564,27750,3934,6558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia",2009,"N","consumption",TRUE,"ARM:2009:N:c","ARM2009",NA,0.03043043,0.004161477,879,NA,1.33473,0.207254,38548,14.9053025598111,13.88234,2.517489,400935,17.9491962845665,54.32954,15.76267,1569087,29.0284189454748,89.37476,42.95336,2581225,48.0616942287304,97.58303,60.21246,2818288,61.7182893460695,99.15667,69.80741,2863736,70.4068027895171,99.82692,79.72585,2883093,79.8499442867282,99.93865,84.76472,2886320,84.8201615090698,1.892762,0.3286807,54665,17.4266315653889,5.742758,0.9785624,165856,16.8028499840268,12.68796,2.274009,366440,17.7298081081534,4.161477e-05,0.003937826,0.080559648,0.86694685,4.295336,9.031869,13.961482,23.917755,33.905888,0.006856279402,0.025520907392,0.07115374161,NA,0.283200748636411,0.574374281106128,1.59656304200111,4.80616942287304,9.25774340191042,14.0813605579034,23.9549832860185,33.9280646036279,879,37669,362387,1168152,1012138,237063,45448,19357,1772,3227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia",2010,"N","consumption",TRUE,"ARM:2010:N:c","ARM2010",NA,0.06152896,0.01181942,1770,21.5166844713979,0.9744664,0.1579527,28039,15.8111482592354,14.10767,2.574675,405923,18.2056373153894,54.96063,16.07392,1581393,29.25216054943,89.28009,43.29214,2568873,48.4561021253942,96.91095,60.17866,2788437,62.0792266484547,98.81237,69.67008,2843147,70.4920651414349,99.662,79.5549,2867594,79.8490116797121,99.75089,84.58902,2870151,84.7394045883956,1.758583,0.2654721,50600,14.6288433644877,6.08008,0.9247751,174943,15.0826854467293,12.60794,2.26717,362771,17.9347341605091,0.0001181942,0.0030011013,0.0823896,0.8840656,4.329214,9.026799,13.934016,23.86647,33.835608,0.005505891354,0.023970170592,0.0705316587,0.215166844713979,0.300411816925473,0.582580394092461,1.60886883021865,4.84561021253942,9.31188399726821,14.098413028287,23.9547035039136,33.8957618353582,1770,26269,377884,1175470,987480,219564,54710,24447,7168,2557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
