name,slug,sourceName,description,sourceLink,dataPublishedBy,unit,shortUnit,tolerance,type,colorScaleNumericMinValue,colorScaleNumericBins,colorScaleEqualSizeBins,colorScaleScheme,transform
Mean expenditure per day,mean ,World Bank Poverty and Inequality Platform,The mean level of expenditure per day.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;50.0001,'true,BuGn,multiplyBy mean 1
Median expenditure per day,median ,World Bank Poverty and Inequality Platform,The level of expenditure per day below which half of the population live.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;50.0001,'true,BuGn,multiplyBy median 1
poorest decile,decile1_thr ,World Bank Poverty and Inequality Platform,The level of expenditure per day below which  0% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;50.0001,'true,Greens,multiplyBy decile1_thr 1
2nd decile,decile2_thr ,World Bank Poverty and Inequality Platform,The level of expenditure per day below which  0% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;50.0001,'true,Greens,multiplyBy decile2_thr 1
3rd decile,decile3_thr ,World Bank Poverty and Inequality Platform,The level of expenditure per day below which  0% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;50.0001,'true,Greens,multiplyBy decile3_thr 1
4th decile,decile4_thr ,World Bank Poverty and Inequality Platform,The level of expenditure per day below which  0% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;50.0001,'true,Greens,multiplyBy decile4_thr 1
5th decile,decile5_thr ,World Bank Poverty and Inequality Platform,The level of expenditure per day below which  0% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;50.0001,'true,Greens,multiplyBy decile5_thr 1
6th decile,decile6_thr ,World Bank Poverty and Inequality Platform,The level of expenditure per day below which  0% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;50.0001,'true,Greens,multiplyBy decile6_thr 1
7th decile,decile7_thr ,World Bank Poverty and Inequality Platform,The level of expenditure per day below which  0% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;50.0001,'true,Greens,multiplyBy decile7_thr 1
8th decile,decile8_thr ,World Bank Poverty and Inequality Platform,The level of expenditure per day below which  0% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;50.0001,'true,Greens,multiplyBy decile8_thr 1
richest decile,decile9_thr ,World Bank Poverty and Inequality Platform,The level of expenditure per day below which  0% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;50.0001,'true,Greens,multiplyBy decile9_thr 1
poorest decile,decile1_avg ,World Bank Poverty and Inequality Platform,The mean expenditure per day within the poorest decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;50.0001,'true,Greens,multiplyBy decile1_avg 1
2nd decile,decile2_avg ,World Bank Poverty and Inequality Platform,The mean expenditure per day within the 2nd decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;50.0001,'true,Greens,multiplyBy decile2_avg 1
