name,slug,sourceName,description,sourceLink,dataPublishedBy,unit,shortUnit,tolerance,type,colorScaleNumericMinValue,colorScaleNumericBins,colorScaleEqualSizeBins,colorScaleScheme,transform
Mean income or expenditure per day,mean ,World Bank Poverty and Inequality Platform,The mean level of income or expenditure per day.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;100;100.0001,'true,BuGn,multiplyBy mean 1
Median income or expenditure per day,median ,World Bank Poverty and Inequality Platform,The level of income or expenditure per day below which half of the population live.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;100;100.0001,'true,Blues,multiplyBy median 1
poorest decile,decile1_thr ,World Bank Poverty and Inequality Platform,The level of income or expenditure per day below which 10% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;100;100.0001,'true,Purples,multiplyBy decile1_thr 1
2nd decile,decile2_thr ,World Bank Poverty and Inequality Platform,The level of income or expenditure per day below which 20% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;100;100.0001,'true,Purples,multiplyBy decile2_thr 1
3rd decile,decile3_thr ,World Bank Poverty and Inequality Platform,The level of income or expenditure per day below which 30% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;100;100.0001,'true,Purples,multiplyBy decile3_thr 1
4th decile,decile4_thr ,World Bank Poverty and Inequality Platform,The level of income or expenditure per day below which 40% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;100;100.0001,'true,Purples,multiplyBy decile4_thr 1
5th decile (median),decile5_thr ,World Bank Poverty and Inequality Platform,The level of income or expenditure per day below which 50% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;100;100.0001,'true,Purples,multiplyBy decile5_thr 1
6th decile,decile6_thr ,World Bank Poverty and Inequality Platform,The level of income or expenditure per day below which 60% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;100;100.0001,'true,Purples,multiplyBy decile6_thr 1
7th decile,decile7_thr ,World Bank Poverty and Inequality Platform,The level of income or expenditure per day below which 70% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;100;100.0001,'true,Purples,multiplyBy decile7_thr 1
8th decile,decile8_thr ,World Bank Poverty and Inequality Platform,The level of income or expenditure per day below which 80% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;100;100.0001,'true,Purples,multiplyBy decile8_thr 1
richest decile,decile9_thr ,World Bank Poverty and Inequality Platform,The level of income or expenditure per day below which 90% of the population falls.,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;100;100.0001,'true,Purples,multiplyBy decile9_thr 1
poorest decile,decile1_avg ,World Bank Poverty and Inequality Platform,The mean income or expenditure per day within the poorest decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;100;100.0001,'true,Greens,multiplyBy decile1_avg 1
2nd decile,decile2_avg ,World Bank Poverty and Inequality Platform,The mean income or expenditure per day within the 2nd decile (tenth of the population).,https://pip.worldbank.org/,World Bank Poverty and Inequality Platform (PIP),international-$ at 2017 prices,$,5.0,Numeric,0.0,1;2;5;10;20;50;100;100.0001,'true,Greens,multiplyBy decile2_avg 1
