"Notes"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"1999"	"1999"	"< 1 year"	"1"	14	3795762	0.4 (Unreliable)
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"1999"	"1999"	"1-4 years"	"1-4"	24	15339782	0.2
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"1999"	"1999"	"5-9 years"	"5-9"	38	20606460	0.2
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"1999"	"1999"	"10-14 years"	"10-14"	28	20213364	0.1
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"1999"	"1999"	"15-19 years"	"15-19"	31	20084602	0.2
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"1999"	"1999"	"20-24 years"	"20-24"	167	18591429	0.9
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"1999"	"1999"	"25-34 years"	"25-34"	2729	40178406	6.8
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"1999"	"1999"	"35-44 years"	"35-44"	6232	45076677	13.8
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"1999"	"1999"	"45-54 years"	"45-54"	3907	36577819	10.7
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"1999"	"1999"	"55-64 years"	"55-64"	1149	23778026	4.8
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"1999"	"1999"	"65-74 years"	"65-74"	398	18418909	2.2
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"1999"	"1999"	"75-84 years"	"75-84"	70	12224914	0.6
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"1999"	"1999"	"85+ years"	"85+"	14	4154018	0.3 (Unreliable)
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2000"	"2000"	"< 1 year"	"1"	10	3805648	0.3 (Unreliable)
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2000"	"2000"	"1-4 years"	"1-4"	14	15370150	0.1 (Unreliable)
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2000"	"2000"	"5-9 years"	"5-9"	17	20549505	0.1 (Unreliable)
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2000"	"2000"	"10-14 years"	"10-14"	29	20528072	0.1
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2000"	"2000"	"15-19 years"	"15-19"	35	20219890	0.2
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2000"	"2000"	"20-24 years"	"20-24"	144	18964001	0.8
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2000"	"2000"	"25-34 years"	"25-34"	2437	39891724	6.1
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2000"	"2000"	"35-44 years"	"35-44"	5919	45148527	13.1
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2000"	"2000"	"45-54 years"	"45-54"	4142	37677952	11.0
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2000"	"2000"	"55-64 years"	"55-64"	1239	24274684	5.1
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2000"	"2000"	"65-74 years"	"65-74"	397	18390986	2.2
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2000"	"2000"	"75-84 years"	"75-84"	85	12361180	0.7
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2001"	"2001"	"< 1 year"	"1"	10	4012658	0.2 (Unreliable)
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2001"	"2001"	"1-4 years"	"1-4"	13	15285559	0.1 (Unreliable)
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2001"	"2001"	"5-9 years"	"5-9"	17	20173362	0.1 (Unreliable)
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2001"	"2001"	"10-14 years"	"10-14"	21	20978678	0.1
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2001"	"2001"	"15-19 years"	"15-19"	42	20456284	0.2
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2001"	"2001"	"20-24 years"	"20-24"	183	19757286	0.9
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2001"	"2001"	"25-34 years"	"25-34"	2101	39471522	5.3
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2001"	"2001"	"35-44 years"	"35-44"	5867	45051752	13.0
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2001"	"2001"	"45-54 years"	"45-54"	4120	39386268	10.5
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2001"	"2001"	"55-64 years"	"55-64"	1317	25105295	5.2
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2001"	"2001"	"65-74 years"	"65-74"	384	18384179	2.1
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2001"	"2001"	"75-84 years"	"75-84"	88	12593618	0.7
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2001"	"2001"	"85+ years"	"85+"	10	4312494	0.2 (Unreliable)
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2002"	"2002"	"10-14 years"	"10-14"	21	21261421	0.1
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2002"	"2002"	"15-19 years"	"15-19"	38	20610370	0.2
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2002"	"2002"	"20-24 years"	"20-24"	140	20243765	0.7
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2002"	"2002"	"25-34 years"	"25-34"	1839	39349646	4.7
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2002"	"2002"	"35-44 years"	"35-44"	5707	44640649	12.8
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2002"	"2002"	"45-54 years"	"45-54"	4474	39992194	11.2
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2002"	"2002"	"55-64 years"	"55-64"	1347	26703332	5.0
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2002"	"2002"	"65-74 years"	"65-74"	401	18388535	2.2
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2002"	"2002"	"75-84 years"	"75-84"	96	12764864	0.8
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2002"	"2002"	"85+ years"	"85+"	12	4368808	0.3 (Unreliable)
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2003"	"2003"	"5-9 years"	"5-9"	15	19620851	0.1 (Unreliable)
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2003"	"2003"	"10-14 years"	"10-14"	21	21415353	0.1
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2003"	"2003"	"15-19 years"	"15-19"	32	20797166	0.2
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2003"	"2003"	"20-24 years"	"20-24"	146	20591688	0.7
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2003"	"2003"	"25-34 years"	"25-34"	1588	39243795	4.0
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2003"	"2003"	"35-44 years"	"35-44"	5340	44154206	12.1
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2003"	"2003"	"45-54 years"	"45-54"	4442	40819954	10.9
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2003"	"2003"	"55-64 years"	"55-64"	1517	28008945	5.4
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2003"	"2003"	"65-74 years"	"65-74"	438	18500915	2.4
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2003"	"2003"	"75-84 years"	"75-84"	95	12896438	0.7
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2003"	"2003"	"85+ years"	"85+"	14	4466176	0.3 (Unreliable)
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2004"	"2004"	"10-14 years"	"10-14"	17	21411680	0.1 (Unreliable)
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2004"	"2004"	"15-19 years"	"15-19"	31	21102552	0.1
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2004"	"2004"	"20-24 years"	"20-24"	160	20845560	0.8
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2004"	"2004"	"25-34 years"	"25-34"	1468	39266556	3.7
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2004"	"2004"	"35-44 years"	"35-44"	4826	43800275	11.0
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2004"	"2004"	"45-54 years"	"45-54"	4422	41629930	10.6
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2004"	"2004"	"55-64 years"	"55-64"	1562	29305304	5.3
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2004"	"2004"	"65-74 years"	"65-74"	436	18667533	2.3
	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"2004"	"2004"	"75-84 years"	"75-84"	106	12989903	0.8
