"Notes"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Human immunodeficiency virus infection"	"042-044"	"1987"	"1987"	"< 1 year"	"1"	87	3809394	2.3
	"Human immunodeficiency virus infection"	"042-044"	"1987"	"1987"	"1-4 years"	"1-4"	104	14348927	0.7
	"Human immunodeficiency virus infection"	"042-044"	"1987"	"1987"	"5-9 years"	"5-9"	40	17430258	0.2
	"Human immunodeficiency virus infection"	"042-044"	"1987"	"1987"	"10-14 years"	"10-14"	7	16376846	0.0 (Unreliable)
	"Human immunodeficiency virus infection"	"042-044"	"1987"	"1987"	"15-19 years"	"15-19"	29	18698306	0.2
	"Human immunodeficiency virus infection"	"042-044"	"1987"	"1987"	"20-24 years"	"20-24"	463	20191548	2.3
	"Human immunodeficiency virus infection"	"042-044"	"1987"	"1987"	"25-34 years"	"25-34"	5026	42840612	11.7
	"Human immunodeficiency virus infection"	"042-044"	"1987"	"1987"	"35-44 years"	"35-44"	4794	34226409	14.0
	"Human immunodeficiency virus infection"	"042-044"	"1987"	"1987"	"45-54 years"	"45-54"	1838	23095880	8.0
	"Human immunodeficiency virus infection"	"042-044"	"1987"	"1987"	"55-64 years"	"55-64"	761	21750688	3.5
	"Human immunodeficiency virus infection"	"042-044"	"1987"	"1987"	"65-74 years"	"65-74"	230	17426680	1.3
	"Human immunodeficiency virus infection"	"042-044"	"1987"	"1987"	"75-84 years"	"75-84"	73	9376456	0.8
	"Human immunodeficiency virus infection"	"042-044"	"1987"	"1987"	"85+ years"	"85+"	13	2823030	0.5 (Unreliable)
	"Human immunodeficiency virus infection"	"042-044"	"1987"	"1987"	"Not Stated"	"NS"	3	Not Applicable	Not Applicable
"Total"	"Human immunodeficiency virus infection"	"042-044"	"1987"	"1987"			13468	242395034	5.6
	"Human immunodeficiency virus infection"	"042-044"	"1988"	"1988"	"< 1 year"	"1"	81	3909510	2.1
	"Human immunodeficiency virus infection"	"042-044"	"1988"	"1988"	"1-4 years"	"1-4"	114	14438889	0.8
	"Human immunodeficiency virus infection"	"042-044"	"1988"	"1988"	"5-9 years"	"5-9"	37	17759302	0.2
	"Human immunodeficiency virus infection"	"042-044"	"1988"	"1988"	"10-14 years"	"10-14"	17	16496237	0.1 (Unreliable)
	"Human immunodeficiency virus infection"	"042-044"	"1988"	"1988"	"15-19 years"	"15-19"	29	18496341	0.2
