DIM_GHECAUSE_TITLE,DIM_YEAR_CODE,DIM_COUNTRY_CODE,DIM_AGEGROUP_CODE,DIM_SEX_CODE,VAL_DEATHS_COUNT_NUMERIC
Malaria,2000,ARE,ALLAges,BTSX,0.0
Malaria,2000,ARG,ALLAges,BTSX,0.0
Malaria,2000,ARM,ALLAges,BTSX,0.0
Malaria,2000,ATG,ALLAges,BTSX,0.0
Malaria,2000,AUS,ALLAges,BTSX,0.0
Malaria,2000,AUT,ALLAges,BTSX,0.0
Malaria,2000,AZE,ALLAges,BTSX,0.0
Malaria,2000,BDI,ALLAges,BTSX,12278.63
Malaria,2000,BEL,ALLAges,BTSX,0.0
Malaria,2000,BEN,ALLAges,BTSX,7147.0
Malaria,2000,BFA,ALLAges,BTSX,30125.4
Malaria,2000,BGD,ALLAges,BTSX,872.31
Malaria,2000,BGR,ALLAges,BTSX,0.0
Malaria,2000,BHR,ALLAges,BTSX,0.0
Malaria,2000,BHS,ALLAges,BTSX,0.0
Malaria,2000,KWT,ALLAges,BTSX,0.0
Malaria,2000,LAO,ALLAges,BTSX,427.0
Malaria,2000,LBN,ALLAges,BTSX,0.0
Malaria,2000,LBR,ALLAges,BTSX,3148.07
Malaria,2000,LBY,ALLAges,BTSX,0.0
Malaria,2000,LCA,ALLAges,BTSX,0.0
Malaria,2000,LKA,ALLAges,BTSX,34.05
Malaria,2000,LSO,ALLAges,BTSX,0.0
Malaria,2000,LTU,ALLAges,BTSX,0.0
Malaria,2000,LUX,ALLAges,BTSX,0.0
Malaria,2000,LVA,ALLAges,BTSX,0.0
Malaria,2000,MAR,ALLAges,BTSX,0.0
Malaria,2000,MDA,ALLAges,BTSX,0.0
Malaria,2000,MDG,ALLAges,BTSX,2253.18
Malaria,2000,MDV,ALLAges,BTSX,0.0
Malaria,2000,AGO,YEARS70-74,BTSX,218.29
Malaria,2000,AGO,YEARS75-79,BTSX,28.78
Malaria,2000,AGO,YEARS80-84,BTSX,2.88
Malaria,2000,AGO,YEARS85PLUS,BTSX,0.09
Malaria,2000,ALB,YEARS0-1,BTSX,0.0
Malaria,2000,ALB,YEARS1-4,BTSX,0.0
Malaria,2000,ALB,YEARS5-9,BTSX,0.0
Malaria,2000,ALB,YEARS10-14,BTSX,0.0
Malaria,2000,ALB,YEARS15-19,BTSX,0.0
Malaria,2000,ALB,YEARS20-24,BTSX,0.0
Malaria,2000,ALB,YEARS25-29,BTSX,0.0
Malaria,2000,ALB,YEARS30-34,BTSX,0.0
Malaria,2000,ALB,YEARS35-39,BTSX,0.0
Malaria,2000,ALB,YEARS40-44,BTSX,0.0
Malaria,2000,ALB,YEARS45-49,BTSX,0.0
Malaria,2000,ALB,YEARS50-54,BTSX,0.0
Malaria,2000,ALB,YEARS55-59,BTSX,0.0
Malaria,2000,ALB,YEARS60-64,BTSX,0.0
Malaria,2000,ALB,YEARS65-69,BTSX,0.0
Malaria,2000,ALB,YEARS70-74,BTSX,0.0
Malaria,2000,ALB,YEARS75-79,BTSX,0.0
Malaria,2000,ALB,YEARS80-84,BTSX,0.0
Malaria,2000,ALB,YEARS85PLUS,BTSX,0.0
Malaria,2000,ARE,YEARS0-1,BTSX,0.0
Malaria,2000,ARE,YEARS1-4,BTSX,0.0
Malaria,2000,ARE,YEARS5-9,BTSX,0.0
Malaria,2000,ARE,YEARS10-14,BTSX,0.0
Malaria,2000,ARE,YEARS15-19,BTSX,0.0
Malaria,2000,ARE,YEARS20-24,BTSX,0.0
Malaria,2000,ARE,YEARS25-29,BTSX,0.0
Malaria,2000,ARE,YEARS30-34,BTSX,0.0
Malaria,2000,ARE,YEARS35-39,BTSX,0.0
Malaria,2000,ARE,YEARS40-44,BTSX,0.0
Malaria,2000,ARE,YEARS45-49,BTSX,0.0
Malaria,2000,ARE,YEARS50-54,BTSX,0.0
Malaria,2000,ARE,YEARS55-59,BTSX,0.0
Malaria,2000,ARE,YEARS60-64,BTSX,0.0
Malaria,2000,ARE,YEARS65-69,BTSX,0.0
Malaria,2000,ARE,YEARS70-74,BTSX,0.0
Malaria,2000,ARE,YEARS75-79,BTSX,0.0
Malaria,2000,ARE,YEARS80-84,BTSX,0.0
Malaria,2000,BIH,ALLAges,BTSX,0.0
Malaria,2000,BLR,ALLAges,BTSX,0.0
Malaria,2000,BLZ,ALLAges,BTSX,0.0
Malaria,2000,BOL,ALLAges,BTSX,24.0
Malaria,2000,BRA,ALLAges,BTSX,318.09
Malaria,2000,BRB,ALLAges,BTSX,0.0
Malaria,2000,BRN,ALLAges,BTSX,0.0
Malaria,2000,BTN,ALLAges,BTSX,15.21
Malaria,2000,BWA,ALLAges,BTSX,52.0
Malaria,2000,CAF,ALLAges,BTSX,5626.0
Malaria,2000,CAN,ALLAges,BTSX,0.0
Malaria,2000,CHE,ALLAges,BTSX,0.0
Malaria,2000,CHL,ALLAges,BTSX,0.0
Malaria,2000,CHN,ALLAges,BTSX,31.0
Malaria,2000,CIV,ALLAges,BTSX,25885.55
Malaria,2000,MEX,ALLAges,BTSX,0.0
Malaria,2000,MKD,ALLAges,BTSX,0.0
