varname,varlabel
country_name,Country name
year,Year
regime_lied,Regime (Lexical Index)
electdem_age_lied,Electoral democracy age (LIED)
electdem_age_group_lied,Electoral democracy age group (Lexical Index)
polyarchy_age_lied,Polyarchy age (LIED)
polyarchy_age_group_lied,Polyarchy age group (Lexical Index)
regime_redux_lied,lexical_index
exelec_lied,Executive elections (Lexical Index)
legelec_lied,Legislative elections (Lexical Index)
opposition_lied,Political opposition (Lexical Index)
competition_lied,Competitive elections (Lexical Index)
male_suffrage_lied,Universal suffrage for men (Lexical Index)
female_suffrage_lied,Universal suffrage for women (Lexical Index)
suffrage_lied,Universal suffrage (Lexical Index)
poliberties_lied,Political liberties (Lexical Index)
democracy_lied,Electoral democracy (LIED)
electdem_exp_lied,Experience with electoral democracy (LIED)
polyarchy_exp_lied,Experience with polyarchy (LIED)
number_aut_lied,Number of autocracies (LIED)
number_dem_lied,Number of democracies (LIED)
number_nonelectaut_lied,Number of non-electoral autocracies (LIED)
number_onepaut_lied,Number of one-party autocracies (LIED)
number_multipautne_lied,Number of multi-party autocracies without elected executive (LIED)
number_multipaut_lied,Number of multi-party autocracies (LIED)
number_excldem_lied,Number of exclusive democracies (LIED)
number_maledem_lied,Number of male democracies (LIED)
number_electdem_lied,Number of electoral democracies (LIED)
number_poly_lied,Number of polyarchies (LIED)
number_electdem_18_lied,Number of electoral democracies aged 1-18 years (LIED)
number_electdem_30_lied,Number of electoral democracies aged 19-30 years (LIED)
number_electdem_60_lied,Number of electoral democracies aged 31-60 years (LIED)
number_electdem_90_lied,Number of electoral democracies aged 61-90 years (LIED)
number_electdem_91plus_lied,Number of electoral democracies aged 91 years or older (LIED)
number_poly_18_lied,Number of polyarchies aged 1-18 years (LIED)
number_poly_30_lied,Number of polyarchies aged 19-30 years (LIED)
number_poly_60_lied,Number of polyarchies aged 31-60 years (LIED)
number_poly_90_lied,Number of polyarchies aged 61-90 years (LIED)
number_unisuffrage_none,Number of countries without universal suffrage (LIED)
number_unisuffrage_men,Number of countries with universal suffrage for men (LIED)
number_unisuffrage_all,Number of countries with universal suffrage for men and women (LIED)
pop_aut_lied,People living in autocracies (LIED)
pop_dem_lied,People living in democracies (LIED)
pop_missdem_lied,People living in countries without democracy data (LIED)
pop_nonelectaut_lied,People living in non-electoral autocracies (LIED)
pop_onepaut_lied,People living in one-party autocracies (LIED)
pop_multipautne_lied,People living in multi-party autocracies without elected executive (LIED)
pop_multipaut_lied,People living in multi-party autocracies (LIED)
pop_excldem_lied,People living in exclusive democracies (LIED)
pop_maledem_lied,People living in male democracies (LIED)
pop_electdem_lied,People living in electoral democracies (LIED)
pop_poly_lied,People living inpolyarchies (LIED)
pop_missreg_lied,People living in countries without regime data (LIED)
pop_electdem_18_lied,People living in electoral democracies aged 1-18 years (LIED)
pop_electdem_30_lied,People living in electoral democracies aged 19-30 years (LIED)
pop_electdem_60_lied,People living in electoral democracies aged 31-60 years (LIED)
pop_electdem_90_lied,People living in electoral democracies aged 61-90 years (LIED)
pop_electdem_91plus_lied,People living in electoral democracies aged 91 years or older (LIED)
pop_poly_18_lied,People living in polyarchies aged 1-18 years (LIED)
pop_poly_30_lied,People living in polyarchies aged 19-30 years (LIED)
pop_poly_60_lied,People living in polyarchies aged 31-60 years (LIED)
pop_poly_90_lied,People living in polyarchies aged 61-90 years (LIED)
pop_unisuffrage_none,People living in countries without universal suffrage (LIED)
pop_unisuffrage_men,People living in countries with universal suffrage for men (LIED)
pop_unisuffrage_all,People living in countries with universal suffrage for men and women (LIED)
pop_unisuffrage_miss,People living in countries with no data on universal suffrage (LIED)
region,Region
