varname,varlabel
country_name,Country name
year,Year
regime_lied,Regime (Lexical Index)
electdem_age_lied,Electoral democracy age (LIED)
electdem_age_group_lied,"Electoral democracy age group (Regimes of the World, OWID)"
polyarchy_age_lied,Polyarchy age (LIED)
polyarchy_age_group_lied,"Polyarchy age group (Regimes of the World, OWID)"
regime_redux_lied,lexical_index
exelec_lied,Executive elections (Lexical Index)
legelec_lied,Legislative elections (Lexical Index)
opposition_lied,Political opposition (Lexical Index)
competition_lied,Competitive elections (Lexical Index)
male_suffrage_lied,Universal suffrage for men (Lexical Index)
female_suffrage_lied,Universal suffrage for women (Lexical Index)
poliberties_lied,Political liberties (Lexical Index)
electdem_exp_lied,Experience with electoral democracy (LIED)
polyarchy_exp_lied,Experience with polyarchy (LIED)
number_nonelectaut_lied,Number of non-electoral autocracies (LIED)
number_onepaut_lied,Number of one-party autocracies (LIED)
number_multipautne_lied,Number of multi-party autocracies without elected executive (LIED)
number_multipaut_lied,Number of multi-party autocracies (LIED)
number_excldem_lied,Number of exclusive democracies (LIED)
number_maledem_lied,Number of male democracies (LIED)
number_electdem_lied,Number of electoral democracies (LIED)
number_poly_lied,Number of polyarchies (LIED)
number_electdem_18_lied,Number of electoral democracies aged 1-18 years (LIED)
number_electdem_30_lied,Number of electoral democracies aged 19-30 years (LIED)
number_electdem_60_lied,Number of electoral democracies aged 31-60 years (LIED)
number_electdem_90_lied,Number of electoral democracies aged 61-90 years (LIED)
number_electdem_91plus_lied,Number of electoral democracies aged 91 years or older (LIED)
number_poly_18_lied,Number of polyarchies aged 1-18 years (LIED)
number_poly_30_lied,Number of polyarchies aged 19-30 years (LIED)
number_poly_60_lied,Number of polyarchies aged 31-60 years (LIED)
number_poly_90_lied,Number of polyarchies aged 61-90 years (LIED)
pop_nonelectaut_lied,People living in non-electoral autocracies (LIED)
pop_onepaut_lied,People living in one-party autocracies (LIED)
pop_multipautne_lied,People living in multi-party autocracies without elected executive (LIED)
pop_multipaut_lied,People living in multi-party autocracies (LIED)
pop_excldem_lied,People living in exclusive democracies (LIED)
pop_maledem_lied,People living in male democracies (LIED)
pop_electdem_lied,People living in electoral democracies (LIED)
pop_poly_lied,People living inpolyarchies (LIED)
pop_missreg_lied,People living in countries without regime data (LIED)
pop_electdem_18_lied,People living in electoral democracies aged 1-18 years (LIED)
pop_electdem_30_lied,People living in electoral democracies aged 19-30 years (LIED)
pop_electdem_60_lied,People living in electoral democracies aged 31-60 years (LIED)
pop_electdem_90_lied,People living in electoral democracies aged 61-90 years (LIED)
pop_electdem_91plus_lied,People living in electoral democracies aged 91 years or older (LIED)
pop_poly_18_lied,People living in polyarchies aged 1-18 years (LIED)
pop_poly_30_lied,People living in polyarchies aged 19-30 years (LIED)
pop_poly_60_lied,People living in polyarchies aged 31-60 years (LIED)
pop_poly_90_lied,People living in polyarchies aged 61-90 years (LIED)
region,Region
