varname,varlabel
country_name,Country name
year,Year
regime_row_owid,"Political regime (RoW, OWID)"
electdem_age_row_owid,"Electoral democracy age (Regimes of the World, OWID)"
electdem_age_group_row_owid,"Electoral democracy age group (Regimes of the World, OWID)"
libdem_age_row_owid,"Liberal democracy age (Regimes of the World, OWID)"
libdem_age_group_row_owid,"Liberal democracy age group (Regimes of the World, OWID)"
regime_amb_row_owid,"Political regime, including ambiguous categories (RoW, OWID)"
electmulpar_row_owid,Multiparty elections (RoW)
electmulpar_high_row_owid,"Multiparty elections (upper bound, RoW)"
electmulpar_low_row_owid,"Multiparty elections (lower bound, RoW)"
electmulpar_leg_row_owid,Multiparty elections for legislature (RoW)
electmulpar_leg_high_row_owid,"Multiparty elections for legislature (upper bound, RoW)"
electmulpar_leg_low_row_owid,"Multiparty elections for legislature (lower bound, RoW)"
electmulpar_hoe_row_owid,"Multiparty elections for chief executive (RoW, OWID)"
electmulpar_hoe_high_row_owid,"Multiparty elections for chief executive (upper bound, RoW, OWID)"
electmulpar_hoe_low_row_owid,"Multiparty elections for chief executive (lower bound, RoW, OWID)"
electfreefair_row_owid,Free and fair elections (RoW)
electfreefair_high_row_owid,"Free and fair elections (upper bound, RoW)"
electfreefair_low_row_owid,"Free and fair elections (lower bound, RoW)"
electdem_dich_row_owid,"Electoral democracy (RoW, OWID)"
electdem_dich_high_row_owid,"Electoral democracy (upper bound, RoW, OWID)"
electdem_dich_low_row_owid,"Electoral democracy (lower bound, RoW, OWID)"
accessjust_m_row_owid,Access to justice for men (RoW)
accessjust_m_high_row_owid,"Access to justice for men (upper bound, RoW)"
accessjust_m_low_row_owid,"Access to justice for men (lower bound, RoW)"
accessjust_w_row_owid,Access to justice for women (RoW)
accessjust_w_high_row_owid,"Access to justice for women (upper bound, RoW)"
accessjust_w_low_row_owid,"Access to justice for women (lower bound, RoW)"
transplaws_row_owid,Transparent laws (RoW)
transplaws_high_row_owid,"Transparent laws (upper bound, RoW)"
transplaws_low_row_owid,"Transparent laws (lower bound, RoW)"
lib_dich_row_owid,Liberal political institutions (RoW)
lib_dich_high_row_owid,"Liberal political institutions (upper bound, RoW)"
lib_dich_low_row_owid,"Liberal political institutions (lower bound, RoW)"
electdem_vdem_owid,Electoral democracy (V-Dem)
electdem_vdem_low_owid,"Electoral democracy (lower bound, V-Dem)"
electdem_vdem_high_owid,"Electoral democracy (upper bound, V-Dem)"
libdem_vdem_owid,Liberal democracy (V-Dem)
libdem_vdem_low_owid,"Liberal democracy (lower bound, V-Dem)"
libdem_vdem_high_owid,"Liberal democracy (upper bound, V-Dem)"
participdem_vdem_owid,Participatory democracy (V-Dem)
participdem_vdem_low_owid,"Participatory democracy (lower bound, V-Dem)"
participdem_vdem_high_owid,"Participatory democracy (upper bound, V-Dem)"
delibdem_vdem_owid,Deliberative democracy (V-Dem)
delibdem_vdem_low_owid,"Deliberative democracy (lower bound, V-Dem)"
delibdem_vdem_high_owid,"Deliberative democracy (upper bound, V-Dem)"
egaldem_vdem_owid,Egalitarian democracy (V-Dem)
egaldem_vdem_low_owid,"Egalitarian democracy (lower bound, V-Dem)"
egaldem_vdem_high_owid,"Egalitarian democracy (upper bound, V-Dem)"
freeexpr_vdem_owid,Freedom of expression and alternative sources of information (V-Dem)
freeexpr_vdem_low_owid,"Freedom of expression and alternative sources of information (lower bound, V-Dem"
freeexpr_vdem_high_owid,"Freedom of expression and alternative sources of information (upper bound, V-Dem"
freeassoc_vdem_owid,Freedom of association (V-Dem)
freeassoc_vdem_low_owid,"Freedom of association (lower bound, V-Dem)"
freeassoc_vdem_high_owid,"Freedom of association (upper bound, V-Dem)"
suffr_vdem_owid,Share of adults with suffrage (V-Dem)
electfreefair_vdem_owid,"Free and fair elections (V-Dem, OWID)"
electfreefair_vdem_low_owid,"Free and fair elections (lower bound, V-Dem)"
electfreefair_vdem_high_owid,"Free and fair elections (upper bound, V-Dem)"
electoff_vdem_owid,Elected officials (V-Dem)
lib_vdem_owid,Liberal political institutions (V-Dem)
lib_vdem_low_owid,"Liberal political institutions (lower bound, V-Dem)"
lib_vdem_high_owid,"Liberal political institutions (upper bound, V-Dem)"
indiv_libs_vdem_owid,Individual liberties and equality before the law (V-Dem)
indiv_libs_vdem_low_owid,"Individual liberties and equality before the law (lower bound, V-Dem)"
indiv_libs_vdem_high_owid,"Individual liberties and equality before the law (upper bound, V-Dem)"
judicial_constr_vdem_owid,Judicial constraints on the executive (V-Dem)
judicial_constr_vdem_low_owid,"Judicial constraints on the executive (lower bound, V-Dem)"
judicial_constr_vdem_high_owid,"Judicial constraints on the executive (upper bound, V-Dem)"
legis_constr_vdem_owid,Legislative constraints on the executive (V-Dem)
legis_constr_vdem_low_owid,"Legislative constraints on the executive (lower bound, V-Dem)"
legis_constr_vdem_high_owid,"Legislative constraints on the executive (upper bound, V-Dem)"
particip_vdem_owid,Participatory political institutions (V-Dem)
particip_vdem_low_owid,"Participatory political institutions (lower bound, V-Dem)"
particip_vdem_high_owid,"Participatory political institutions (upper bound, V-Dem)"
civsoc_particip_vdem_owid,Civil society participation (V-Dem)
civsoc_particip_vdem_low_owid,"Civil society participation (lower bound, V-Dem)"
civsoc_particip_vdem_high_owid,"Civil society participation (upper bound, V-Dem)"
dirpop_vote_vdem_owid,Extent of direct popular votes (V-Dem)
locelect_vdem_owid,Elected local governments (V-Dem)
locelect_vdem_low_owid,"Elected local governments (lower bound, V-Dem)"
locelect_vdem_high_owid,"Elected local governments (upper bound, V-Dem)"
regelect_vdem_owid,Elected regional governments (V-Dem)
regelect_vdem_low_owid,"Elected regional governments (lower bound, V-Dem)"
regelect_vdem_high_owid,"Elected regional governments (upper bound, V-Dem)"
delib_vdem_owid,Deliberative political institutions (V-Dem)
delib_vdem_low_owid,"Deliberative political institutions (lower bound, V-Dem)"
delib_vdem_high_owid,"Deliberative political institutions (upper bound, V-Dem)"
justified_polch_vdem_owid,Justified political positions (V-Dem)
justified_polch_vdem_low_owid,"Justified political positions (lower bound, V-Dem)"
justified_polch_vdem_high_owid,"Justified political positions (upper bound, V-Dem)"
justcomgd_polch_vdem_owid,Common good justifications (V-Dem)
justcomgd_polch_vdem_low_owid,"Common good justifications (lower bound, V-Dem)"
justcomgd_polch_vdem_high_owid,"Common good justifications (upper bound, V-Dem)"
counterarg_polch_vdem_owid,Respect for counterarguments (V-Dem)
counterarg_polch_vdem_low_owid,"Respect for counterarguments (lower bound, V-Dem)"
counterarg_polch_vdem_high_owid,"Respect for counterarguments (upper bound, V-Dem)"
elitecons_polch_vdem_owid,Elite consultation (V-Dem)
elitecons_polch_vdem_low_owid,"Elite consultation  (lower bound, V-Dem)"
elitecons_polch_vdem_high_owid,"Elite consultation  (upper bound, V-Dem)"
soccons_polch_vdem_owid,Engaged society (V-Dem)
soccons_polch_vdem_low_owid,"Engaged society (lower bound, V-Dem)"
soccons_polch_vdem_high_owid,"Engaged society (upper bound, V-Dem)"
turnout_vdem_owid,Voter turnout (V-Dem)
egal_vdem_owid,Egalitarian political institutions (V-Dem)
egal_vdem_low_owid,"Egalitarian political institutions (lower bound, V-Dem)"
egal_vdem_high_owid,"Egalitarian political institutions (upper bound, V-Dem)"
equal_rights_vdem_owid,Equal rights protection (V-Dem)
equal_rights_vdem_low_owid,"Equal rights protection (lower bound, V-Dem)"
equal_rights_vdem_high_owid,"Equal rights protection (upper bound, V-Dem)"
equal_access_vdem_owid,Equal access to power (V-Dem)
equal_access_vdem_low_owid,"Equal access to power (lower bound, V-Dem)"
equal_access_vdem_high_owid,"Equal access to power (upper bound, V-Dem)"
equal_res_vdem_owid,Equal resource distribution (V-Dem)
equal_res_vdem_low_owid,"Equal resource distribution (lower bound, V-Dem)"
equal_res_vdem_high_owid,"Equal resource distribution (upper bound, V-Dem)"
wom_hos_vdem_owid,Woman head of state (V-Dem)
wom_hog_vdem_owid,Woman head of government (V-Dem)
corr_leg_vdem_owid,Legislative corruption (V-Dem)
corr_leg_vdem_low_owid,"Legislative corruption (lower bound, V-Dem)"
corr_leg_vdem_high_owid,"Legislative corruption (upper bound, V-Dem)"
wom_parl_vdem_owid,"Women in parliament (percent, V-Dem)"
corr_jud_vdem_owid,Judicial corruption (V-Dem)
corr_jud_vdem_low_owid,"Judicial corruption (lower bound, V-Dem)"
corr_jud_vdem_high_owid,"Judicial corruption (upper bound, V-Dem)"
public_admin_vdem_owid,Rigorous and impartial public administration (V-Dem)
public_admin_vdem_low_owid,"Rigorous and impartial public administration (lower bound, V-Dem)"
public_admin_vdem_high_owid,"Rigorous and impartial public administration (upper bound, V-Dem)"
socgr_civ_libs_vdem_owid,Equality of civil liberties across social groups (V-Dem)
socgr_civ_libs_vdem_low_owid,"Equality of civil liberties across social groups (lower bound, V-Dem)"
socgr_civ_libs_vdem_high_owid,"Equality of civil liberties across social groups (upper bound, V-Dem)"
dom_auton_vdem_owid,Domestic policymaking free from foreign influence (V-Dem)
dom_auton_vdem_low_owid,"Domestic policymaking free from foreign influence (lower bound, V-Dem)"
dom_auton_vdem_high_owid,"Domestic policymaking free from foreign influence (upper bound, V-Dem)"
int_auton_vdem_owid,Foreign policymaking free from foreign influence (V-Dem)
int_auton_vdem_low_owid,"Foreign policymaking free from foreign influence (lower bound, V-Dem)"
int_auton_vdem_high_owid,"Foreign policymaking free from foreign influence (upper bound, V-Dem)"
terr_contr_vdem_owid,Territory under state control (V-Dem)
terr_contr_vdem_low_owid,"Territory under state control (lower bound, V-Dem)"
terr_contr_vdem_high_owid,"Territory under state control (upper bound, V-Dem)"
socgr_pow_vdem_owid,Equality of political power across social groups (V-Dem)
socgr_pow_vdem_low_owid,"Equality of political power across social groups (lower bound, V-Dem)"
socgr_pow_vdem_high_owid,"Equality of political power across social groups (upper bound, V-Dem)"
personalism_vdem_owid,Personalism (V-Dem)
personalism_vdem_low_owid,"Personalism (lower bound, V-Dem)"
personalism_vdem_high_owid,"Personalism (upper bound, V-Dem)"
civ_libs_vdem_owid,Civil liberties (V-Dem)
civ_libs_vdem_low_owid,"Civil liberties (lower bound, V-Dem)"
civ_libs_vdem_high_owid,"Civil liberties (upper bound, V-Dem)"
phys_integr_libs_vdem_owid,Physical integrity liberties (V-Dem)
phys_integr_libs_vdem_low_owid,"Physical integrity liberties (lower bound, V-Dem)"
phys_integr_libs_vdem_high_owid,"Physical integrity liberties (upper bound, V-Dem)"
pol_libs_vdem_owid,Political civil liberties (V-Dem)
pol_libs_vdem_low_owid,"Political civil liberties (lower bound, V-Dem)"
pol_libs_vdem_high_owid,"Political civil liberties (upper bound, V-Dem)"
priv_libs_vdem_owid,Private civil liberties (V-Dem)
priv_libs_vdem_low_owid,"Private civil liberties (lower bound, V-Dem)"
priv_libs_vdem_high_owid,"Private civil liberties (upper bound, V-Dem)"
corruption_vdem_owid,Political corruption (V-Dem)
