varname,varlabel
country_name,Country name
year,Year
regime_dich_ert,"Political regime (ERT, dichotomous)"
regime_ert,Political regime (ERT)
regime_trich_ert,"Political regime (ERT, trichotomous)"
regime_trep_outcome_ert,Regime episode transformation outcome (ERT)
number_hardaut_ert,Number of hardening autocracies (ERT)
number_staut_ert,Number of stable autocracies (ERT)
number_libaut_ert,Number of liberalizing autocracies (ERT)
number_erodem_ert,Number of eroding democracies (ERT)
number_stdem_ert,Number of stable democracies (ERT)
number_deepdem_ert,Number of deepening democracies (ERT)
number_autreg_ert,Number of autocratizing regimes (ERT)
number_streg_ert,Number of stable regimes (ERT)
number_demreg_ert,Number of democratizing regimes (ERT)
pop_hardaut_ert,People living in hardening autocracies (ERT)
pop_staut_ert,People living in stable autocracies (ERT)
pop_libaut_ert,People living in liberalizing autocracies (ERT)
pop_erodem_ert,People living in eroding democracies (ERT)
pop_stdem_ert,People living in stable democracies (ERT)
pop_deepdem_ert,People living in deepening democracies (ERT)
pop_missreg_ert,People living in countries without regime data (ERT)
pop_autreg_ert,People living in autocratizing regimes (ERT)
pop_streg_ert,People living in stable regimes (ERT)
pop_demreg_ert,People living in democratizing regimes (ERT)
region,Region
