Entity,Year,Total investment
Merger/acquisition,2013,431603840
Minority stake,2013,1399495070
Private investment,2013,2736516936
Public offering,2013,661113719
Merger/acquisition,2014,205587735
Minority stake,2014,267832859
Private investment,2014,5920354774
Public offering,2014,22779081199
Merger/acquisition,2015,1819616027
Minority stake,2015,3418211961
Private investment,2015,8980714017
Public offering,2015,766506701
Merger/acquisition,2016,2749005682
Minority stake,2016,1178806523
Private investment,2016,15730530245
Public offering,2016,170743904
Merger/acquisition,2017,22493500309
Minority stake,2017,1190033337
Private investment,2017,23092889664
Public offering,2017,557269302
Merger/acquisition,2018,4338141243
Minority stake,2018,1087034099
Private investment,2018,35256252550
Public offering,2018,4893601916
Merger/acquisition,2019,20417268957
Minority stake,2019,2035130940
Private investment,2019,42572633211
Public offering,2019,1955701075
Merger/acquisition,2020,21532879497
Minority stake,2020,44061387953
Private investment,2020,46002661475
Public offering,2020,7940692135
Merger/acquisition,2021,72029082206
Minority stake,2021,1325140764
Private investment,2021,93535757202
Public offering,2021,9576755629
