"Region","Year","PovRateAt30DAD"
"East Asia",1820,0.999997433414985
"East. Europe and form. SU",1820,0.999494342209816
"Latin America and Carib.",1820,0.999756182732097
"MENA",1820,0.999735810001089
"South and South-East Asia",1820,0.99997944626778
"Sub-Saharan Africa",1820,0.999983785738035
"W. Europe",1820,0.997104426302704
"W. Offshoots",1820,0.995584403916989
"World",1820,0.99946296090761
"East Asia",1821,0.999997486258908
"East. Europe and form. SU",1821,0.999494268572695
"Latin America and Carib.",1821,0.999785558155441
"MENA",1821,0.999734595025937
"South and South-East Asia",1821,0.999979702359383
"Sub-Saharan Africa",1821,0.999984238160811
"W. Europe",1821,0.996950473840801
"W. Offshoots",1821,0.995524809402293
"World",1821,0.999436565123822
"East Asia",1822,0.999997539087249
"East. Europe and form. SU",1822,0.999494191046906
"Latin America and Carib.",1822,0.999792874145402
"MENA",1822,0.999733394675538
"South and South-East Asia",1822,0.999979651277769
"Sub-Saharan Africa",1822,0.999984677500745
"W. Europe",1822,0.997103520402005
"W. Offshoots",1822,0.995340641232186
"World",1822,0.999455521093935
"East Asia",1823,0.999997591904332
"East. Europe and form. SU",1823,0.999494098456641
"Latin America and Carib.",1823,0.999788737086638
"MENA",1823,0.999732224359689
"South and South-East Asia",1823,0.999979600420574
"Sub-Saharan Africa",1823,0.999985091845124
"W. Europe",1823,0.997014799372591
"W. Offshoots",1823,0.995604059639725
"World",1823,0.999442610632305
"East Asia",1824,0.999997644709764
"East. Europe and form. SU",1824,0.999494138048867
"Latin America and Carib.",1824,0.99979313148072
"MENA",1824,0.999731073471521
"South and South-East Asia",1824,0.999979550624602
"Sub-Saharan Africa",1824,0.999985504120961
"W. Europe",1824,0.996850973344217
"W. Offshoots",1824,0.995431125886988
"World",1824,0.999412426425181
"East Asia",1825,0.99999769752928
"East. Europe and form. SU",1825,0.999494085932626
"Latin America and Carib.",1825,0.999792198255715
"MENA",1825,0.999730003838847
"South and South-East Asia",1825,0.999979499768198
"Sub-Saharan Africa",1825,0.999985914832364
"W. Europe",1825,0.997068914410065
"W. Offshoots",1825,0.995313497588052
"World",1825,0.99944229418755
"East Asia",1826,0.999997750307899
"East. Europe and form. SU",1826,0.999494012020138
"Latin America and Carib.",1826,0.999798610796207
"MENA",1826,0.99972889508797
"South and South-East Asia",1826,0.999979449878507
"Sub-Saharan Africa",1826,0.99998632408006
"W. Europe",1826,0.99718476787095
"W. Offshoots",1826,0.995374140803637
"World",1826,0.99945916670566
"East Asia",1827,0.999997803073808
"East. Europe and form. SU",1827,0.999493944006467
"Latin America and Carib.",1827,0.999793585114622
"MENA",1827,0.999727809483882
"South and South-East Asia",1827,0.999979400285463
"Sub-Saharan Africa",1827,0.999986695907044
"W. Europe",1827,0.997177888305748
"W. Offshoots",1827,0.995476524628352
"World",1827,0.999457415266408
"East Asia",1828,0.999997855803189
"East. Europe and form. SU",1828,0.999493856567035
"Latin America and Carib.",1828,0.999795607070798
"MENA",1828,0.999726746512515
"South and South-East Asia",1828,0.999979350854431
"Sub-Saharan Africa",1828,0.999987066772672
"W. Europe",1828,0.997288613546024
"W. Offshoots",1828,0.995627556336719
"World",1828,0.999475086544775
"East Asia",1829,0.999997908544936
"East. Europe and form. SU",1829,0.999493876368827
"Latin America and Carib.",1829,0.999799476071001
"MENA",1829,0.999725696394465
"South and South-East Asia",1829,0.999979302153711
"Sub-Saharan Africa",1829,0.999987437356507
"W. Europe",1829,0.997297176627244
"W. Offshoots",1829,0.996138472572711
"World",1829,0.999482357049884
"East Asia",1830,0.999997961272931
"East. Europe and form. SU",1830,0.999493810767626
"Latin America and Carib.",1830,0.999799628116665
"MENA",1830,0.999724665351484
"South and South-East Asia",1830,0.999979253250973
"Sub-Saharan Africa",1830,0.999987792219099
"W. Europe",1830,0.997407086141826
"W. Offshoots",1830,0.995519822692629
"World",1830,0.999488640665478
"East Asia",1831,0.99999800847572
"East. Europe and form. SU",1831,0.999493761138458
"Latin America and Carib.",1831,0.999801602747904
"MENA",1831,0.999723661293472
"South and South-East Asia",1831,0.999979204716292
"Sub-Saharan Africa",1831,0.999988145994695
"W. Europe",1831,0.997426281881262
"W. Offshoots",1831,0.994956390948546
"World",1831,0.999479546553498
"East Asia",1832,0.999998055679267
"East. Europe and form. SU",1832,0.999493677695209
"Latin America and Carib.",1832,0.999805323516182
"MENA",1832,0.999722673786255
"South and South-East Asia",1832,0.999979240511183
"Sub-Saharan Africa",1832,0.999988461549153
"W. Europe",1832,0.997427149512314
"W. Offshoots",1832,0.994670814947654
"World",1832,0.999471739891987
"East Asia",1833,0.999998102885693
"East. Europe and form. SU",1833,0.999493610012296
"Latin America and Carib.",1833,0.999804305267589
"MENA",1833,0.99972179607618
"South and South-East Asia",1833,0.999979275977201
"Sub-Saharan Africa",1833,0.999988776151797
"W. Europe",1833,0.997557543760224
"W. Offshoots",1833,0.994389876342785
"World",1833,0.999484218919161
"East Asia",1834,0.999998150065494
"East. Europe and form. SU",1834,0.999493548090715
"Latin America and Carib.",1834,0.999803812056392
"MENA",1834,0.999720837562765
"South and South-East Asia",1834,0.999979311639564
"Sub-Saharan Africa",1834,0.999989089854926
"W. Europe",1834,0.997462449357511
"W. Offshoots",1834,0.995268165807965
"World",1834,0.999480445813785
"East Asia",1835,0.999998197273448
"East. Europe and form. SU",1835,0.999493482477894
"Latin America and Carib.",1835,0.999804837802528
"MENA",1835,0.999719908644967
"South and South-East Asia",1835,0.999979347667406
"Sub-Saharan Africa",1835,0.999989402975876
"W. Europe",1835,0.997155396680694
"W. Offshoots",1835,0.994979542486775
"World",1835,0.999422807495198
"East Asia",1836,0.999998244482154
"East. Europe and form. SU",1836,0.99949352479161
"Latin America and Carib.",1836,0.999801349904194
"MENA",1836,0.999718991588041
"South and South-East Asia",1836,0.999979383231126
"Sub-Saharan Africa",1836,0.99998971475336
"W. Europe",1836,0.997379966099243
"W. Offshoots",1836,0.995000643635133
"World",1836,0.999455364800333
"East Asia",1837,0.999998291668546
"East. Europe and form. SU",1837,0.999493464700911
"Latin America and Carib.",1837,0.999801044627076
"MENA",1837,0.999718105950011
"South and South-East Asia",1837,0.999979419350921
"Sub-Saharan Africa",1837,0.999990026035745
"W. Europe",1837,0.997694943730506
"W. Offshoots",1837,0.99561980999843
"World",1837,0.999513602738175
"East Asia",1838,0.999998338878773
"East. Europe and form. SU",1838,0.999493400753676
"Latin America and Carib.",1838,0.999800738915942
"MENA",1838,0.999717216097095
"South and South-East Asia",1838,0.999979455660253
"Sub-Saharan Africa",1838,0.999990336843173
"W. Europe",1838,0.997580053038514
"W. Offshoots",1838,0.995927830552372
"World",1838,0.999497522389117
"East Asia",1839,0.999998386066723
"East. Europe and form. SU",1839,0.999493323645151
"Latin America and Carib.",1839,0.999804957639506
"MENA",1839,0.999716357642139
"South and South-East Asia",1839,0.999979492471504
"Sub-Saharan Africa",1839,0.999990646706681
"W. Europe",1839,0.997804470913333
"W. Offshoots",1839,0.995574791486398
"World",1839,0.999524111934497
"East Asia",1840,0.999998433280598
"East. Europe and form. SU",1840,0.999493280249778
"Latin America and Carib.",1840,0.999804910830699
"MENA",1840,0.999715513286435
"South and South-East Asia",1840,0.999979529116601
"Sub-Saharan Africa",1840,0.999990955916202
"W. Europe",1840,0.997907776962615
"W. Offshoots",1840,0.99635499207607
"World",1840,0.999552733307188
"East Asia",1841,0.999998479826613
"East. Europe and form. SU",1841,0.999493306463233
"Latin America and Carib.",1841,0.999801875577373
"MENA",1841,0.999714789249643
"South and South-East Asia",1841,0.999979565956244
"Sub-Saharan Africa",1841,0.999991230087097
"W. Europe",1841,0.997797136636159
"W. Offshoots",1841,0.996769306633217
"World",1841,0.99953925881804
"East Asia",1842,0.999998526396875
"East. Europe and form. SU",1842,0.999493245446796
"Latin America and Carib.",1842,0.999807136281094
"MENA",1842,0.999713969874879
"South and South-East Asia",1842,0.999979586174198
"Sub-Saharan Africa",1842,0.999991503427408
"W. Europe",1842,0.998084771960986
"W. Offshoots",1842,0.99704009682342
"World",1842,0.999588801071654
"East Asia",1843,0.99999857294112
"East. Europe and form. SU",1843,0.99949317116145
"Latin America and Carib.",1843,0.9998126696624
"MENA",1843,0.999713175470522
"South and South-East Asia",1843,0.999979606294151
"Sub-Saharan Africa",1843,0.999991776203535
"W. Europe",1843,0.998160785700348
"W. Offshoots",1843,0.997087574925971
"World",1843,0.999599631019137
"East Asia",1844,0.999998619509604
"East. Europe and form. SU",1844,0.999493116096816
"Latin America and Carib.",1844,0.99981847021725
"MENA",1844,0.999712399325017
"South and South-East Asia",1844,0.999979626673796
"Sub-Saharan Africa",1844,0.999992028459749
"W. Europe",1844,0.998050859277289
"W. Offshoots",1844,0.99679104777176
"World",1844,0.999572338952324
"East Asia",1845,0.999998666052079
"East. Europe and form. SU",1845,0.999493090986856
"Latin America and Carib.",1845,0.999817612133255
"MENA",1845,0.999711625986453
"South and South-East Asia",1845,0.999979646605867
"Sub-Saharan Africa",1845,0.999992281420384
"W. Europe",1845,0.998003771417585
"W. Offshoots",1845,0.996849680365322
"World",1845,0.999562751465928
"East Asia",1846,0.999998712592916
"East. Europe and form. SU",1846,0.999493019321183
"Latin America and Carib.",1846,0.999822738878073
"MENA",1846,0.999710881943935
"South and South-East Asia",1846,0.999979667375853
"Sub-Saharan Africa",1846,0.999992532655799
"W. Europe",1846,0.998236127968054
"W. Offshoots",1846,0.997008734942586
"World",1846,0.999602233276311
"East Asia",1847,0.999998759133624
"East. Europe and form. SU",1847,0.99949297980048
"Latin America and Carib.",1847,0.999821948700454
"MENA",1847,0.999710151707944
