"Region","Year","PovRate","PovRate1.9"
"East Asia",1820,0.775374754103812,0.911132283174603
"East. Europe and form. SU",1820,0.913433998207517,0.91956772240379
"Latin America and Carib.",1820,0.85444498500459,0.835629913659981
"MENA",1820,0.747143977101453,0.817916693044357
"South and South-East Asia",1820,0.687456325657741,0.681552776533791
"Sub-Saharan Africa",1820,0.911687097783477,0.943858208507322
"W. Europe",1820,0.725178210184276,0.557778830170156
"W. Offshoots",1820,0.546011140059294,0.561800377324589
"World",1820,0.756466542576312,0.793632175642386
"East Asia",1821,0.776006894912387,0.913133900891239
"East. Europe and form. SU",1821,0.907399136012857,0.918343848878134
"Latin America and Carib.",1821,0.855975208479394,0.839017035617856
"MENA",1821,0.745805115065579,0.816836477871112
"South and South-East Asia",1821,0.687397530466935,0.681605394626443
"Sub-Saharan Africa",1821,0.845807030484311,0.896291097642499
"W. Europe",1821,0.717348084323326,0.547949229758956
"W. Offshoots",1821,0.536432042534947,0.552267361109605
"World",1821,0.754302007241329,0.792337221030612
"East Asia",1822,0.776639763298082,0.915136169669483
"East. Europe and form. SU",1822,0.901152324149299,0.917048121380376
"Latin America and Carib.",1822,0.85586552900428,0.839266837169116
"MENA",1822,0.744480624010255,0.815756823329693
"South and South-East Asia",1822,0.687175930745183,0.681355835555963
"Sub-Saharan Africa",1822,0.875220332266926,0.917991175277872
"W. Europe",1822,0.71819206717559,0.547676730573723
"W. Offshoots",1822,0.523020879741258,0.538763532314536
"World",1822,0.754256442062658,0.792968006759164
"East Asia",1823,0.777273268146468,0.917139113268338
"East. Europe and form. SU",1823,0.8939242850749,0.915501339723288
"Latin America and Carib.",1823,0.855648526313488,0.838117467565435
"MENA",1823,0.743132056285341,0.814670396045066
"South and South-East Asia",1823,0.686942532091535,0.681102341180183
"Sub-Saharan Africa",1823,0.871776460575392,0.915455613446523
"W. Europe",1823,0.713087669803584,0.540248300927485
"W. Offshoots",1823,0.521748031260627,0.53766822331472
"World",1823,0.753046082241567,0.792390113586316
"East Asia",1824,0.777907413084284,0.919142722613343
"East. Europe and form. SU",1824,0.887312474245683,0.914065446949001
"Latin America and Carib.",1824,0.855763739104036,0.83825457704957
"MENA",1824,0.741783300955404,0.81358169855678
"South and South-East Asia",1824,0.687009938688084,0.680918144465452
"Sub-Saharan Africa",1824,0.868328411719252,0.91291780242869
"W. Europe",1824,0.705572072104657,0.529754624298294
"W. Offshoots",1824,0.508180199009486,0.523913847235846
"World",1824,0.751451458001532,0.791250433739178
"East Asia",1825,0.778541800200482,0.921147251148937
"East. Europe and form. SU",1825,0.883354243802301,0.913223873657837
"Latin America and Carib.",1825,0.85475666860032,0.836921862594701
"MENA",1825,0.740421446983579,0.812494004719724
"South and South-East Asia",1825,0.686623250502295,0.680630561840219
"Sub-Saharan Africa",1825,0.864877236816205,0.910378325944618
"W. Europe",1825,0.709163804205866,0.532584709267635
"W. Offshoots",1825,0.496006186108846,0.51158832779766
"World",1825,0.751571346799761,0.792061894794357
"East Asia",1826,0.779177281179098,0.923152147624735
"East. Europe and form. SU",1826,0.881221860140396,0.912802611587927
"Latin America and Carib.",1826,0.854570129599087,0.837149468533103
"MENA",1826,0.739070544757392,0.811398924443968
"South and South-East Asia",1826,0.686044562372251,0.680299087877702
