"Region","Year","PovRateAt5DAD"
"East Asia",1820,0.993462184019793
"East. Europe and form. SU",1820,0.960398843278206
"Latin America and Carib.",1820,0.971405345924739
"MENA",1820,0.967702583274404
"South and South-East Asia",1820,0.960637805711228
"Sub-Saharan Africa",1820,0.99812365721501
"W. Europe",1820,0.878797224735882
"W. Offshoots",1820,0.849717006558261
"World",1820,0.962836771947996
"East Asia",1821,0.993642236771368
"East. Europe and form. SU",1821,0.960159403985895
"Latin America and Carib.",1821,0.972647657472896
"MENA",1821,0.967474536596969
"South and South-East Asia",1821,0.960695241614631
"Sub-Saharan Africa",1821,0.995478461232906
"W. Europe",1821,0.874097768760147
"W. Offshoots",1821,0.846485465182387
"World",1821,0.962085451903591
"East Asia",1822,0.993822319078816
"East. Europe and form. SU",1822,0.959892448952465
"Latin America and Carib.",1822,0.972750942450225
"MENA",1822,0.967246526026349
"South and South-East Asia",1822,0.960621555351918
"Sub-Saharan Africa",1822,0.99680100493401
"W. Europe",1822,0.875152235163786
"W. Offshoots",1822,0.84072880505702
"World",1822,0.962167938614041
"East Asia",1823,0.994002434980502
"East. Europe and form. SU",1823,0.959554999218322
"Latin America and Carib.",1823,0.972393714270749
"MENA",1823,0.967019320404307
"South and South-East Asia",1823,0.960547468761907
"Sub-Saharan Africa",1823,0.996651508103383
"W. Europe",1823,0.871947324517004
"W. Offshoots",1823,0.84295080568039
"World",1823,0.961666251674146
"East Asia",1824,0.994182583658477
"East. Europe and form. SU",1824,0.959231560892485
"Latin America and Carib.",1824,0.972448785281324
"MENA",1824,0.966792473196365
"South and South-East Asia",1824,0.960478047841397
"Sub-Saharan Africa",1824,0.996501949339964
"W. Europe",1824,0.866834836216956
"W. Offshoots",1824,0.837043831346785
"World",1824,0.960768471167678
"East Asia",1825,0.994362798262289
"East. Europe and form. SU",1825,0.959021003958357
"Latin America and Carib.",1825,0.972087278454472
"MENA",1825,0.966568643541737
"South and South-East Asia",1825,0.960401736455732
"Sub-Saharan Africa",1825,0.996352343679635
"W. Europe",1825,0.869801534087227
"W. Offshoots",1825,0.83189899725587
"World",1825,0.961127964599875
"East Asia",1826,0.994543007552796
"East. Europe and form. SU",1826,0.958903389663603
"Latin America and Carib.",1826,0.97218406547478
"MENA",1826,0.966342156407113
"South and South-East Asia",1826,0.960322818256258
"Sub-Saharan Africa",1826,0.996202694141944
"W. Europe",1826,0.869937442058837
"W. Offshoots",1826,0.830020287425685
"World",1826,0.961109958773081
"East Asia",1827,0.994723247269768
"East. Europe and form. SU",1827,0.958482451558144
"Latin America and Carib.",1827,0.971649861832354
"MENA",1827,0.966116530872707
"South and South-East Asia",1827,0.960248724349614
"Sub-Saharan Africa",1827,0.996117329601157
"W. Europe",1827,0.868884173935661
"W. Offshoots",1827,0.82881241904133
"World",1827,0.960900198437723
"East Asia",1828,0.994903485581484
"East. Europe and form. SU",1828,0.957789812069179
"Latin America and Carib.",1828,0.971538721107208
"MENA",1828,0.96589132985428
"South and South-East Asia",1828,0.960176979944392
"Sub-Saharan Africa",1828,0.996031936287122
"W. Europe",1828,0.869228453998534
"W. Offshoots",1828,0.828519124223539
"World",1828,0.960926948800698
"East Asia",1829,0.995083786308995
"East. Europe and form. SU",1829,0.957409905920731
"Latin America and Carib.",1829,0.971466369738681
"MENA",1829,0.965666088715221
"South and South-East Asia",1829,0.960105594221727
"Sub-Saharan Africa",1829,0.995946534430351
"W. Europe",1829,0.867633838085456
"W. Offshoots",1829,0.836130894018974
"World",1829,0.960780344477076
"East Asia",1830,0.995264115147326
"East. Europe and form. SU",1830,0.957671800910383
"Latin America and Carib.",1830,0.971224518052644
"MENA",1830,0.965441296408631
"South and South-East Asia",1830,0.960032962745291
"Sub-Saharan Africa",1830,0.996762237606145
"W. Europe",1830,0.868334798206428
"W. Offshoots",1830,0.818438609584549
"World",1830,0.960637944710768
"East Asia",1831,0.995438569154771
"East. Europe and form. SU",1831,0.958038023124291
"Latin America and Carib.",1831,0.971145880377859
"MENA",1831,0.965217197787395
"South and South-East Asia",1831,0.959960433293298
"Sub-Saharan Africa",1831,0.997577909739799
"W. Europe",1831,0.866507009429211
"W. Offshoots",1831,0.802585111231499
"World",1831,0.960016994851496
"East Asia",1832,0.995613025159464
"East. Europe and form. SU",1832,0.95817954218551
"Latin America and Carib.",1832,0.97081624272906
"MENA",1832,0.964993402229573
"South and South-East Asia",1832,0.959996756388168
"Sub-Saharan Africa",1832,0.997657040748264
"W. Europe",1832,0.864536319269187
"W. Offshoots",1832,0.79235144696212
"World",1832,0.959462139338286
"East Asia",1833,0.995787485448806
"East. Europe and form. SU",1833,0.958189762486908
"Latin America and Carib.",1833,0.970445455749908
"MENA",1833,0.964775068711446
"South and South-East Asia",1833,0.960030827388978
"Sub-Saharan Africa",1833,0.99773614350005
"W. Europe",1833,0.864968879409681
"W. Offshoots",1833,0.782072199938992
"World",1833,0.95927210822865
"East Asia",1834,0.99596191255861
"East. Europe and form. SU",1834,0.958010339597592
"Latin America and Carib.",1834,0.970156125993644
"MENA",1834,0.96455088338772
"South and South-East Asia",1834,0.960065226221975
"Sub-Saharan Africa",1834,0.997815219547775
"W. Europe",1834,0.859595628304788
"W. Offshoots",1834,0.795351180540998
"World",1834,0.958551573575302
"East Asia",1835,0.99613637686751
"East. Europe and form. SU",1835,0.958206268091291
"Latin America and Carib.",1835,0.969938268659239
"MENA",1835,0.964327965239002
"South and South-East Asia",1835,0.960103592120922
"Sub-Saharan Africa",1835,0.997894278347069
"W. Europe",1835,0.848576210766672
"W. Offshoots",1835,0.783161972669861
"World",1835,0.956482030558532
"East Asia",1836,0.996310843174311
"East. Europe and form. SU",1836,0.958278044426228
"Latin America and Carib.",1836,0.969776248332282
"MENA",1836,0.964104314251734
"South and South-East Asia",1836,0.960140553931244
"Sub-Saharan Africa",1836,0.997973297192873
"W. Europe",1836,0.85234006979042
"W. Offshoots",1836,0.778360837764626
"World",1836,0.956896727889051
"East Asia",1837,0.996485280976339
"East. Europe and form. SU",1837,0.957863088915647
"Latin America and Carib.",1837,0.969487017498219
"MENA",1837,0.96388317476452
"South and South-East Asia",1837,0.960174010225139
"Sub-Saharan Africa",1837,0.998052301375414
"W. Europe",1837,0.858498236407122
"W. Offshoots",1837,0.787060301873861
"World",1837,0.957921431033411
"East Asia",1838,0.996659751294381
"East. Europe and form. SU",1838,0.957846473851403
"Latin America and Carib.",1838,0.969617616972275
"MENA",1838,0.963660283034685
"South and South-East Asia",1838,0.960210311351437
"Sub-Saharan Africa",1838,0.998131291491995
"W. Europe",1838,0.852248919402723
"W. Offshoots",1838,0.789266113780882
"World",1838,0.956857312629795
"East Asia",1839,0.996834193156213
"East. Europe and form. SU",1839,0.958019552863682
"Latin America and Carib.",1839,0.969860740863364
"MENA",1839,0.963438883228011
"South and South-East Asia",1839,0.960247127620236
"Sub-Saharan Africa",1839,0.998210253551839
"W. Europe",1839,0.855849597659112
"W. Offshoots",1839,0.774666376552802
"World",1839,0.957071268164347
"East Asia",1840,0.997008669823101
"East. Europe and form. SU",1840,0.958192701213164
"Latin America and Carib.",1840,0.969510758720989
"MENA",1840,0.963217739860494
"South and South-East Asia",1840,0.960280724151313
"Sub-Saharan Africa",1840,0.998289196196651
"W. Europe",1840,0.857861123130789
"W. Offshoots",1840,0.788221461070498
"World",1840,0.957544443262177
"East Asia",1841,0.997182403638189
"East. Europe and form. SU",1841,0.957768269900987
"Latin America and Carib.",1841,0.96861752889628
"MENA",1841,0.963002204237334
"South and South-East Asia",1841,0.960317059493318
"Sub-Saharan Africa",1841,0.998502633762872
"W. Europe",1841,0.853932051677555
"W. Offshoots",1841,0.795272645562769
"World",1841,0.956863234834071
"East Asia",1842,0.997356165882361
"East. Europe and form. SU",1842,0.957894809447278
"Latin America and Carib.",1842,0.968427673744063
"MENA",1842,0.962780627759864
"South and South-East Asia",1842,0.960311870075512
"Sub-Saharan Africa",1842,0.998716046781974
"W. Europe",1842,0.858546825958235
"W. Offshoots",1842,0.798063596969193
"World",1842,0.957527263335551
"East Asia",1843,0.997529891019334
"East. Europe and form. SU",1843,0.95793316767176
