"Region","Year","PovRateAt10DAD"
"East Asia",1820,0.99950859968751
"East. Europe and form. SU",1820,0.988194166655743
"Latin America and Carib.",1820,0.995184681229094
"MENA",1820,0.993502832552566
"South and South-East Asia",1820,0.996264150304746
"Sub-Saharan Africa",1820,0.999952047418957
"W. Europe",1820,0.966609590250984
"W. Offshoots",1820,0.950296469319917
"World",1820,0.992327397240524
"East Asia",1821,0.999521580578534
"East. Europe and form. SU",1821,0.988179931826833
"Latin America and Carib.",1821,0.995586484505225
"MENA",1821,0.993462583758428
"South and South-East Asia",1821,0.996278463341029
"Sub-Saharan Africa",1821,0.999857369135494
"W. Europe",1821,0.965011129861838
"W. Offshoots",1821,0.94948142082886
"World",1821,0.992059258068446
"East Asia",1822,0.999534562416879
"East. Europe and form. SU",1822,0.988168693649985
"Latin America and Carib.",1822,0.995633240717346
"MENA",1822,0.993422459593303
"South and South-East Asia",1822,0.996268895568352
"Sub-Saharan Africa",1822,0.999922306253805
"W. Europe",1822,0.965858861846026
"W. Offshoots",1822,0.947581776256513
"World",1822,0.992142978178526
"East Asia",1823,0.999547545649281
"East. Europe and form. SU",1823,0.988150258606204
"Latin America and Carib.",1823,0.995554642762047
"MENA",1823,0.993382716961474
"South and South-East Asia",1823,0.99625932971729
"Sub-Saharan Africa",1823,0.999915989887854
"W. Europe",1823,0.964873421920478
"W. Offshoots",1823,0.949248072629972
"World",1823,0.991985238920007
"East Asia",1824,0.999560530208303
"East. Europe and form. SU",1824,0.988134791570234
"Latin America and Carib.",1824,0.995593811529173
"MENA",1824,0.993343187748769
"South and South-East Asia",1824,0.99625015339579
"Sub-Saharan Africa",1824,0.999909671385919
"W. Europe",1824,0.963132374964288
"W. Offshoots",1824,0.947353314853
"World",1824,0.991665142698599
"East Asia",1825,0.999573519462137
"East. Europe and form. SU",1825,0.988123467138193
"Latin America and Carib.",1825,0.995521076808645
"MENA",1825,0.99330476871302
"South and South-East Asia",1825,0.996240382926051
"Sub-Saharan Africa",1825,0.999903351268456
"W. Europe",1825,0.964736774516825
"W. Offshoots",1825,0.94582298375998
"World",1825,0.991867771020167
"East Asia",1826,0.99958650621213
"East. Europe and form. SU",1826,0.988115153274531
"Latin America and Carib.",1826,0.995571513053699
"MENA",1826,0.993265662927582
"South and South-East Asia",1826,0.996230351977282
"Sub-Saharan Africa",1826,0.999897029639483
